modelo,tipo,termo,coef,erro_padrao,p,ci95_inf,ci95_sup,papel
MUNI_CR1,OLS_municipio_HC3,log_instr_por_forn,0.037978277259824195,0.023540938669884978,0.10668229006948327,-0.00816111469541661,0.084117669215065,concentracao_robustez
WLS_CR4,WLS_peso_municipio_cluster,Intercept,0.9312822029973296,0.15366738047762665,1.3580317084756965e-09,0.630099671662568,1.2324647343320911,concentracao_robustez
WLS_CR4,WLS_peso_municipio_cluster,C(regiao)[T.Nordeste],0.0010717522867119875,0.014131839578577006,0.9395467541706755,-0.02662614432259664,0.028769648896020614,concentracao_robustez
WLS_CR4,WLS_peso_municipio_cluster,C(regiao)[T.Norte],0.029449816169567697,0.018738163983697976,0.11603198232847803,-0.007276310374885922,0.06617594271402132,concentracao_robustez
WLS_CR4,WLS_peso_municipio_cluster,C(regiao)[T.Sudeste],0.04648944625994697,0.012670209425937327,0.00024331714993062437,0.021656292108529897,0.07132260041136404,concentracao_robustez
WLS_CR4,WLS_peso_municipio_cluster,C(regiao)[T.Sul],0.0750363474810712,0.012458370781159158,1.7124910056838494e-09,0.05061838944395311,0.09945430551818929,concentracao_robustez
WLS_CR4,WLS_peso_municipio_cluster,log_populacao,0.018381258702852805,0.00320411687332068,9.650322233059384e-09,0.012101305028887184,0.024661212376818425,concentracao_robustez
WLS_CR4,WLS_peso_municipio_cluster,log_despesa_pc,0.006502260630774132,0.015282934495108907,0.6705021704527643,-0.023451740557724157,0.036456261819272424,concentracao_robustez
WLS_CR4,WLS_peso_municipio_cluster,log_n_fornecedores,-0.16699548302955788,0.005609061037802685,8.883868536221557e-195,-0.177989040650738,-0.15600192540837776,concentracao_robustez
WLS_CR4,WLS_peso_municipio_cluster,log_instr_por_forn,0.03728745722756802,0.014983880830917033,0.01282815570914532,0.007919590450330541,0.0666553240048055,concentracao_robustez
MUNI_CR4,OLS_municipio_HC3,Intercept,0.9310368107881791,0.1565062834755712,2.6998651947254127e-09,0.6242901318218435,1.2377834897545148,concentracao_robustez
MUNI_CR4,OLS_municipio_HC3,C(regiao)[T.Nordeste],0.0007646584827799071,0.014310685746742324,0.9573871569033705,-0.027283770174905738,0.028813087140465553,concentracao_robustez
MUNI_CR4,OLS_municipio_HC3,C(regiao)[T.Norte],0.02868259474268162,0.019487361347011928,0.14105969795169165,-0.009511931651179712,0.06687712113654296,concentracao_robustez
MUNI_CR4,OLS_municipio_HC3,C(regiao)[T.Sudeste],0.046280967367957046,0.012778937296760487,0.00029271855845430436,0.021234710505610856,0.07132722423030324,concentracao_robustez
MUNI_CR4,OLS_municipio_HC3,C(regiao)[T.Sul],0.07524865741175585,0.01266290342996154,2.8079508632687453e-09,0.050429822749322506,0.10006749207418919,concentracao_robustez
MUNI_CR4,OLS_municipio_HC3,log_populacao,0.018506412746702835,0.0032773523216092213,1.635025066625811e-08,0.012082920231700028,0.024929905261705642,concentracao_robustez
MUNI_CR4,OLS_municipio_HC3,log_despesa_pc,0.006768843448337966,0.015549121409224723,0.6633301736375712,-0.023706874504983183,0.03724456140165911,concentracao_robustez
MUNI_CR4,OLS_municipio_HC3,log_n_fornecedores,-0.16839002083314278,0.006912353063422201,4.4612590209922027e-131,-0.1819379838858754,-0.15484205778041016,concentracao_robustez
