orgao_cnpj,portfolio_hhi_mar,portfolio_hhi_norm_mar,portfolio_cr1_mar,portfolio_cr4_mar,count_hhi_mar,count_hhi_norm_mar,exposicao_strength_global_mar,exposicao_degree_global_mar,n_fornecedores_mar,n_instrumentos_mar,quadrante_mar,exposicao_oculta_mar,portfolio_hhi_abr,portfolio_hhi_norm_abr,portfolio_cr1_abr,portfolio_cr4_abr,count_hhi_abr,count_hhi_norm_abr,exposicao_strength_global_abr,exposicao_degree_global_abr,n_fornecedores_abr,n_instrumentos_abr,quadrante_abr,exposicao_oculta_abr,delta_hhi,delta_hhi_norm,delta_exposicao_strength,quadrante_estavel
10391817000191,0.3878900790452066,0.3817071505507137,0.6188371519532821,0.699935733984505,0.0274866374033264,0.0176632701043701,0.914831906918271,0.6327224211194359,100,366,baixo_baixo,False,0.2189852701713682,0.2131999758763413,0.3582207266340094,0.7069674718688594,0.0264965325407712,0.0192853957447769,0.9119334846092924,0.6110205894304589,136,648,baixo_baixo,False,-0.1689048088738384,-0.1685071746743724,-0.002898422308978632,True
10396929000135,0.0453531150576442,0.0378362104517989,0.1010115314294822,0.3367335029172987,0.0145416088307224,0.0067820939396257,0.9327597979425162,0.9919252388279658,128,246,oculta,True,0.0389101126092467,0.0320938722731421,0.082477768165758,0.276730064842668,0.0152961242560603,0.0083124088252523,0.9402221647950912,0.9945644881506424,142,332,oculta,True,-0.006443002448397503,-0.005742338178656797,0.007462366852575064,True
10414835000141,0.7201090010331003,0.6501362512913752,0.837715587034333,0.9995476806313364,0.2222222222222222,0.0277777777777778,0.9891474587432598,0.8666736577685531,5,6,critico,False,0.4230290295186021,0.3268672011050357,0.5382540994098968,0.992917909387745,0.15625,0.015625,0.988430820771487,0.7034504001033025,7,8,critico,False,-0.29707997151449816,-0.3232690501863395,-0.0007166379717727933,True
10423151000106,0.1680995808418882,0.0756662009354313,0.2549764397341393,0.7257593211194026,0.1242603550295858,0.0269559500328731,0.7781512682232546,0.9807282228972194,10,13,baixo_baixo,False,0.1680995808418882,0.0756662009354313,0.2549764397341393,0.7257593211194026,0.1242603550295858,0.0269559500328731,0.7913907463917527,0.9850178032023968,10,13,baixo_baixo,False,0.0,0.0,0.01323947816849802,True
10429180000185,0.5417096707311595,0.5333771192899078,0.727881198142364,0.8833092827521064,0.0397570793023091,0.0222981171078056,0.8593017563547006,0.5113550397401518,56,119,hhi_alto,False,0.4519213674776169,0.4437410893802679,0.6631017746886456,0.8245484141925796,0.0321477128196131,0.0177021562945327,0.8455273509805982,0.5501636219441113,68,151,hhi_alto,False,-0.08978830325354259,-0.08963602990963992,-0.01377440537410246,True
10432684000154,0.217859652337963,0.0614315828055556,0.2317226983737469,0.9268907934949876,0.1666666666666666,3.3306690738754695e-17,0.7757953880055984,0.5264521301456391,6,6,baixo_baixo,False,0.7002414028701881,0.6627715782289617,0.8343108845279831,0.913776421926968,0.1111111111111111,0.0,0.9459959054272123,0.4194122717540497,9,9,critico,False,0.4823817505322251,0.6013399954234061,0.1702005174216139,False
10441099000110,0.0468063439715185,0.0327887902063937,0.1073872406153894,0.3313982210340049,0.0309903047091412,0.0167401621313345,0.9204651230744696,0.9961824214331768,69,152,oculta,True,0.0404590784835431,0.0288983444893689,0.0977723585057178,0.3031126876707796,0.0255520869464678,0.013811750644618,0.9230786630279516,0.9968030984468124,84,186,baixo_baixo,False,-0.006347265487975401,-0.0038904457170248,0.0026135399534820136,False
10455823000165,0.0660979336050303,0.0563697870800827,0.1821928909616435,0.3880455044976845,0.0334666955017301,0.0233986402465398,0.9360949584736196,0.9467040642771456,97,272,oculta,True,0.0590441566558932,0.0501672147375526,0.1642347403547157,0.3689253254465875,0.0299428571428571,0.0207913746630727,0.9377973892105728,0.9526217901103556,107,350,oculta,True,-0.0070537769491371,-0.006202572342530105,0.0017024307369531977,True
10459525000143,0.1672208811535731,0.1564055679218013,0.3268442756588708,0.6925434114382643,0.0332276390540362,0.0206721538469457,0.95502083743822,0.6570779756572837,78,174,oculta,True,0.1814181211653832,0.1754430709549116,0.3767602266780281,0.6757236085526641,0.0192658875091307,0.012107244352263,0.960307325035156,0.6478286826871257,138,296,oculta,True,0.014197240011810108,0.019037503033110303,0.0052864875969360625,True
10465435000165,0.09043841110305,0.0620146114500203,0.2235101696336264,0.4782027424468091,0.046712802768166,0.0169225778546712,0.9633521207542224,0.9980100639178162,33,68,oculta,True,0.0646777412339217,0.0438928021502311,0.1661351163772559,0.4032824960485102,0.0348878604485581,0.0134409240140817,0.9637122267491122,0.998186501231622,46,106,oculta,True,-0.025760669869128297,-0.018121809299789203,0.0003601059948897811,True
