orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,integracao_siconfi_principal,cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita,exposicao_strength,exposicao_degree,procurement_intensity_parcial,log_despesa_empenhada,log_populacao_siconfi,log_despesa_per_capita,instrumentos_por_fornecedor
01280363000190,1,55,4209102,Joinville,SC,18009370.59,55,42,0.5072547203884036,0.0333884297520661,0.653089009481036,0.9647295452761296,1.9713961443952708,0.4952365428369012,0.0098125377947994,0.4738662906363374,0.4854240050421017,0.404606136247675,0.9732219018081736,True,4209102,4677973285.15,4491280681.35,4295508268.18,617979.0,0.9600911351091623,0.9182412994567293,7569.7932860987175,0.9732219018081736,0.404606136247675,0.0038498233085618246,22.26613079435032,13.33420975527995,8.931921039070371,1.3095238095238095
01282378000198,1,99,4217105,São Martinho,SC,304468.75000000006,99,37,0.2729473842149322,0.0609121518212427,0.3946858257210305,0.8436317356050498,3.663709776432775,0.2527514782209025,0.0348263782607217,0.2120352323936894,0.2179250999601808,0.9892717410957964,0.9495765818430608,True,4217105,38347052.55,32897069.82,32756068.28,3654.0,0.857877402105576,0.8542004170278793,10494.54092775041,0.9495765818430608,0.9892717410957964,0.007939821440070499,17.462188226239828,8.203577736937952,9.258610489301875,2.675675675675676
01294821000140,1,5,4219002,Urussanga,SC,108830.32,5,5,0.2908090286534612,0.2,0.411833761032771,0.9356796892630656,3.438682783097621,0.1135112858168265,3.4694469519536136e-17,0.0908090286534612,0.1135112858168265,0.7203286798075172,0.7414093490437119,True,4219002,138481724.57,132028968.0,131425807.94,20915.0,0.9534035513347594,0.9490480303310105,6621.167801577814,0.7414093490437119,0.7203286798075172,0.0007858821829229045,18.746248922321985,9.948221883876299,8.798027038445687,1.0
01335616000186,1,11,3519071,Hortolândia,SP,298078.42000000004,11,8,0.5983323750215647,0.140495867768595,0.762685202102185,0.9608621784830984,1.6713118690325903,0.540951285738931,0.0177095631641086,0.4578365072529696,0.5232417225748224,0.8610819977332572,0.7760702434356306,True,3519071,1643064720.43,1617198988.93,1587372803.39,246449.0,0.9842576307686585,0.9661048549411827,6666.956329423127,0.7760702434356306,0.8610819977332572,0.0001814161160504932,21.219829066844703,12.414910354507114,8.804918712337589,1.375
01349236000109,1,185,4202800,Braço do Norte,SC,945408.037,185,27,0.0797985653991157,0.0732505478451424,0.1408201779439706,0.4616215093589267,12.531553606239164,0.0444062025298509,0.0376063381468787,0.0065480175539732,0.0067998643829722,0.9989294309449628,0.968915944160482,True,4202800,220117573.0,195929566.5,192250071.35,34113.0,0.8901132418900511,0.8733971973696075,6452.600855978659,0.968915944160482,0.9989294309449628,0.004295013906045566,19.20967238429094,10.437433822292833,8.772238561998108,6.851851851851852
01393989000103,1,9,5208707,Goiânia,GO,384377.68,9,8,0.1581754634679916,0.1358024691358024,0.2320431040636907,0.7093863514655689,6.322093060927618,0.0379148153919904,0.0123456790123456,0.0223729943321892,0.0255691363796448,0.4542171986465636,0.6197926641823261,True,5208707,9443789728.21,9305863716.05,9251388580.97,1414483.0,0.9853950568437589,0.9796267014856049,6676.495743116036,0.6197926641823261,0.4542171986465636,4.070163473163818e-05,22.968623190802152,14.162274651270485,8.806348539531669,1.125
01397083000167,1,82,4216503,São Joaquim,SC,186926.62,82,43,0.2111727137642919,0.0434265318262938,0.4092515020065093,0.7198870337461833,4.735460288284149,0.1923911117110608,0.0206509730602532,0.167746181937998,0.1717401386508075,0.9113668698440348,0.8089384270847968,True,4216503,202831996.46,179589594.9,178884373.46,26026.0,0.8854105764098044,0.8819337016942361,7793.4371958810425,0.8089384270847968,0.9113668698440348,0.0009215834940364714,19.127888590707776,10.166851317336702,8.961037273371074,1.9069767441860466
01404511000131,1,64,4305108,Caxias do Sul,RS,2791763.57,64,38,0.3428284843880246,0.05224609375,0.5625662061347122,0.8006283820087243,2.916910483051247,0.3250670920741874,0.0266311233108108,0.2905823906380246,0.2984359687633766,0.7106916518016232,0.8709507813674692,True,4305108,3571734146.76,3446693049.38,3364463468.66,503068.0,0.9649914881001355,0.9419691753127762,7099.903286951268,0.8709507813674692,0.7106916518016232,0.0007816269227463278,21.996317070191957,13.128480628811484,8.867836441380472,1.6842105263157894
01420402000108,1,24,1504208,Marabá,PA,686508.5800000001,24,20,0.5164917492658109,0.0555555555555555,0.7059876221794635,0.8959779643249325,1.9361393505733488,0.4910439465955904,0.0058479532163742,0.4609361937102553,0.4851959933792161,0.5233825405397051,0.8258932496730257,True,1504208,1773067554.1,1633032360.81,1621389850.92,271321.0,0.9210209487133268,0.914454639458455,6534.944048193836,0.8258932496730257,0.5233825405397051,0.0003871869283336293,21.295976964891878,12.511057900738024,8.784919064153856,1.2
01465988000127,1,204,5213103,Mineiros,GO,5503768.37,204,117,0.0642535314890936,0.017637447135717,0.1522460927984147,0.4359085209830514,15.56334689821273,0.0561867515881375,0.0091688044386111,0.0466160843533766,0.0470179471495264,0.6419934909751159,0.8055192993186204,True,5213103,678402600.84,651782645.6,638880337.18,71108.0,0.9607608296208784,0.9417421696039144,9540.453969173652,0.8055192993186204,0.6419934909751159,0.008112835008570454,20.335251476219995,11.171955127042576,9.16329634917742,1.7435897435897436
01494665000161,1,19,5209101,Goiatuba,GO,636626.3300000001,19,16,0.1688667075487649,0.0692520775623268,0.2931075753652853,0.7045877760035466,5.921830386319472,0.1134578213853492,0.0072022160664819,0.099614629986438,0.1062556053188672,0.5551316530892535,0.7030839203938131,True,5209101,382326024.63,374096376.41,371698980.44,36936.0,0.9784747893425139,0.9722042353766411,10351.040302956466,0.7030839203938131,0.5551316530892535,0.0016651399302888205,19.761784270192255,10.516941964186826,9.24484230600543,1.1875
01600293000100,1,68,4214904,Rio Fortuna,SC,106022.36000000002,68,31,0.3859821789580177,0.0523356401384083,0.5961006715941807,0.8576470095553428,2.5907931881714346,0.3655149182566183,0.0207468281430219,0.3336465388196094,0.3447680901135964,0.640229602990591,0.6974259679021885,True,4214904,45408613.03,44771696.46,44562639.64,4885.0,0.985973661657994,0.9813697593132586,9295.51955578301,0.6974259679021885,0.640229602990591,0.0023348513184041643,17.631212359335272,8.493924564476883,9.13728779485839,2.193548387096774
01610999000153,1,16,4203303,Campo Alegre,SC,21492.72,16,15,0.2654354574012554,0.0703125,0.3680502049065915,0.8228925887463289,3.7673941898738574,0.2129665615013451,0.00390625,0.1951229574012554,0.2090603115013451,0.9928763569543252,0.829675278485762,True,4203303,125014962.11,120247415.82,109472822.27,12318.0,0.9618641944169445,0.8756777622639715,10148.965912485794,0.829675278485762,0.9928763569543252,0.00017192118157096005,18.643943984983476,9.418816886246988,9.225127098736486,1.0666666666666667
01648573000199,1,52,3303955,Pinheiral,RJ,7256005.920000001,52,42,0.2690944537846748,0.0303254437869822,0.5012133865513716,0.6931273479446114,3.716167263708024,0.2512674892428376,0.0066748448549574,0.2387690099976925,0.2445926443878801,0.7745848589736769,0.9008504056110502,True,3303955,183413766.01,178643498.53,172799777.64,24553.0,0.9739917696268234,0.9421309065240975,7470.116320205269,0.9008504056110502,0.7745848589736769,0.03956085782353105,19.02725517500249,10.108589325349573,8.918665849652918,1.2380952380952381
