orgao_cnpj,portfolio_hhi,portfolio_hhi_norm,n_fornecedores,n_instrumentos,exposicao_strength_global,exposicao_degree_global,exposicao_strength_loo,exposicao_degree_loo,contribuicao_propria_strength_media_ponderada,delta_strength_loo,delta_degree_loo,discordancia_strength_raw,discordancia_strength_loo,discordancia_degree_loo
42399307000157,0.2608181954008862,0.1552207947438699,8,8,0.8328224733668906,0.9810989740584684,0.8315935229535332,0.9786117437834811,0.012914366170654619,-0.0012289504133574658,-0.0024872302749872066,False,True,True
43008975000179,0.9698409276965008,0.9668250204661508,11,11,0.9904750035404278,0.4086294249576093,0.011266516856689647,0.007557667926363116,0.9912051401145343,-0.9792084866837382,-0.40107175703124615,False,False,False
43355376000121,0.2300496019882636,0.1933852973210381,22,25,0.9102718211233748,0.875722370796545,0.770148253446748,0.6444707201824531,0.6815272649075936,-0.14012356767662681,-0.23125165061409192,False,True,True
43467992000174,0.3253453889187437,0.2289661587642786,8,8,0.7523146077926417,0.4116826480173431,0.0063886429008510395,0.009315574048863559,0.9905561150673042,-0.7459259648917906,-0.40236707396847954,False,False,False
43939047000128,0.5568461870645682,0.5291490737561038,17,18,0.8558286215766614,0.4781052594862524,0.10374597073974803,0.11318299182675493,0.8801521779357135,-0.7520826508369134,-0.3649222676594974,False,False,False
44239770000167,0.221375041133578,0.197780345410353,34,40,0.9469339141485568,0.6234155185212158,0.40275669218169424,0.26210097018685474,0.8373099248522674,-0.5441772219668626,-0.36131454833436105,True,False,False
44318534000136,0.2002281464912465,0.179721175888458,40,61,0.8217003505817554,0.8430540317051469,0.48206461404980805,0.6080305975278975,0.5594085252363208,-0.33963573653194734,-0.23502343417724947,False,False,True
44392215000170,0.3017400041854542,0.2899050890021568,60,67,0.8695850767695276,0.4307992970863807,0.029473947437085885,0.03704700547310712,0.9798289621070899,-0.8401111293324417,-0.3937522916132736,False,False,False
44483469000102,0.1854708851383727,0.0949676501537474,10,11,0.7323674280250442,0.4049977569679956,0.0059729357207999965,0.00631480060797711,0.9939439827100762,-0.7263944923042441,-0.3986829563600185,False,False,False
44490662000162,0.842921455342953,0.8036518191786912,5,5,0.9262170779418604,0.4313443677238094,0.02630178843244018,0.04009960460494396,0.980367359633824,-0.8999152895094202,-0.39124476311886547,False,False,False
44497659000170,0.0560089464147997,0.035924030381072,48,56,0.408665781101478,0.4195013029847347,0.0147937030884626,0.021605226100016552,0.9766567763344125,-0.3938720780130154,-0.3978960768847182,False,False,False
44534082000120,0.3591796267620204,0.2523762312223571,7,7,0.9627925609767428,0.7273511916766945,0.7038162773516249,0.2894692016209257,0.5966927954478725,-0.25897628362511793,-0.4378819900557688,True,True,False
44544005000150,0.3601074716331475,0.2686942532950258,8,15,0.8972969237936633,0.4134984302322819,0.01462520316817677,0.020610453597177742,0.9852339862945529,-0.8826717206254866,-0.39288797663510416,False,False,False
44552129000188,0.336278853256664,0.17034856657083,5,5,0.6001062030550968,0.7230453376627938,0.39408273426131446,0.3615715883082621,0.5800085787292211,-0.2060234687937823,-0.3614737493545317,False,False,False
44616474000138,0.044121653039547,0.0279203251249631,60,80,0.4662802929884029,0.5587683813185752,0.09709748390030865,0.18841997715247763,0.8790051155989493,-0.36918280908809425,-0.3703484041660976,False,False,False
44621400000190,0.493745185732357,0.3671814821654462,5,8,0.8833166129601564,0.9838316978623924,0.8270971005381555,0.9797695964935721,0.21277120929105878,-0.05621951242200085,-0.004062101368820348,False,False,False
44699908000100,0.1606597628405275,0.1471220170798909,63,97,0.7751028042678664,0.5251460277276805,0.1623197012343785,0.1696549088934152,0.8398743042852094,-0.6127831030334878,-0.3554911188342653,False,False,False
