orgao_cnpj,portfolio_hhi,count_hhi,portfolio_neff,count_neff,portfolio_cr1,portfolio_cr4,relacao_hhi,razao_neff_valor_frequencia
09579148000105,0.2208670408671542,0.0472589792060491,4.5276108018374455,21.16000000000001,0.3617257653745961,0.8277928768549194,HHI monetário > HHI frequência,0.21397026473711925
10324957000147,0.0599742396109383,0.0416518333926664,16.673825403825806,24.008547008547005,0.1164513650868094,0.384214266199578,HHI monetário > HHI frequência,0.6944953977385616
10377912000130,0.2017076212548065,0.0345413965352322,4.957670879162038,28.95076923076924,0.3996195667168445,0.6996863917048121,HHI monetário > HHI frequência,0.17124487572830926
10391817000191,0.0462668283721302,0.0359635569289786,21.613757311326125,27.80592592592593,0.0801377645224016,0.298561970509095,HHI monetário > HHI frequência,0.7773075915150052
10396929000135,0.0726726314813629,0.0211118416246621,13.760338377955293,47.36678200692042,0.17437019413655,0.4305867768895614,HHI monetário > HHI frequência,0.29050608453715243
10429180000185,0.4632489297000786,0.0657439446366782,2.158666617206068,15.210526315789473,0.6728952832128063,0.8231017336577564,HHI monetário > HHI frequência,0.14191925857064114
10441099000110,0.0813048054634211,0.0674571382791219,12.299396011099226,14.82422802850356,0.1551053793093462,0.4777099420606162,HHI monetário > HHI frequência,0.8296820574704014
10455823000165,0.1323484008182351,0.1058514135437212,7.555814757243512,9.4472049689441,0.2174639475831259,0.6658240664383783,HHI monetário > HHI frequência,0.7997936725287347
10465435000165,0.1053526492355345,0.0798611111111111,9.491930267119557,12.521739130434783,0.1997310152086721,0.5290930495770474,HHI monetário > HHI frequência,0.7580360977213535
10469199000155,0.1299377474774044,0.0387523629489603,7.695993038311636,25.804878048780488,0.1797309646986996,0.6162204503955414,HHI monetário > HHI frequência,0.2982379154733243
10478051000187,0.0618435017310408,0.0417979416089056,16.169847631672415,23.924623115577887,0.1182592122000865,0.3878308153806675,HHI monetário > HHI frequência,0.6758663471335457
10479670000196,0.1033638129373017,0.0666666666666666,9.674565707116267,14.999999999999996,0.1840240826398805,0.5687771852147718,HHI monetário > HHI frequência,0.6449710471410847
10481963000108,0.0807246803133762,0.0577037477691849,12.387785199247142,17.3298969072165,0.1236013258505383,0.4293638029573476,HHI monetário > HHI frequência,0.7148216325562001
10496698000131,0.2870698007818966,0.0342235100634348,3.483473347862729,29.219679633867266,0.52183753513461,0.69107550249113,HHI monetário > HHI frequência,0.11921668517628735
10532003000120,0.1504322126317979,0.0352743224565831,6.647512407782154,28.349233390119245,0.3622737941455133,0.5202004680048951,HHI monetário > HHI frequência,0.23448649620624512
10540697000147,0.0487876203070814,0.0393871952797474,20.497003004158643,25.38896189224704,0.105234830659714,0.3426726196152934,HHI monetário > HHI frequência,0.8073194599743663
10551277000166,0.6316649083176105,0.1900826446280991,1.5831178633358325,5.260869565217392,0.7821476870110795,0.9909916894627274,HHI monetário > HHI frequência,0.3009232302208607
10552903000139,0.1457990295329228,0.0527200168031926,6.858756215343601,18.96812749003984,0.2744424539982434,0.6643853215050208,HHI monetário > HHI frequência,0.3615937429219164
10564533000150,0.1750375414865113,0.0863683662851196,5.7130601327433626,11.578313253012048,0.2583996134201157,0.7646519172636078,HHI monetário > HHI frequência,0.4934276701536931
10565436000181,0.0826105392677171,0.0476481991633506,12.104993005302704,20.98715203426124,0.2067097070009798,0.4633123054894184,HHI monetário > HHI frequência,0.5767811175876302
10568451000183,0.1032787638291208,0.0622837370242214,9.682532622626496,16.055555555555554,0.1768225565045189,0.5417551425751884,HHI monetário > HHI frequência,0.6030643155961141
10589926000118,0.9450241918377296,0.28,1.0581739691291523,3.571428571428571,0.9719607827709306,1.0,HHI monetário > HHI frequência,0.29628871135616264
10594533000100,0.1327074832696713,0.0313946637488426,7.535370088873789,31.85254691689008,0.30400859096769,0.5989783136459037,HHI monetário > HHI frequência,0.23657041016327945
10596772000191,0.8230888910240182,0.15625,1.214935605261157,6.4,0.906211221937426,0.973090717758792,HHI monetário > HHI frequência,0.18983368832205577
10624466000111,0.095154950219739,0.0510204081632653,10.509174748037005,19.6,0.1623646738577748,0.5452405004937679,HHI monetário > HHI frequência,0.5361823851039288
10628610000198,0.3497629137293805,0.0887573964497041,2.859079567177104,11.266666666666666,0.4153489690601701,0.9253160829318712,HHI monetário > HHI frequência,0.25376445862518676
10631880000158,0.1122679768453336,0.0528549382716049,8.90725947059377,18.91970802919708,0.2218184605036625,0.5753377794003081,HHI monetário > HHI frequência,0.47079264948740224
10698251000145,0.2540475069890011,0.0909090909090909,3.9362716519131,11.0,0.4186735554541252,0.8883966103937406,HHI monetário > HHI frequência,0.35784287744664545
10714485000139,0.0647911606593791,0.0449905482041587,15.434204138697432,22.226890756302524,0.1360839904489627,0.4005637427264638,HHI monetário > HHI frequência,0.6943933052948938
10788473000159,0.1342547245506519,0.0460189919649379,7.448527441749117,21.73015873015872,0.2422366313135423,0.644565983619994,HHI monetário > HHI frequência,0.3427737244924723
10971858000157,0.2775212819784814,0.0394808004326663,3.603327257898508,25.328767123287676,0.4699039976661707,0.859554779831332,HHI monetário > HHI frequência,0.14226224436267768
11124654000143,0.2443608469782419,0.2,4.092308618037491,4.999999999999999,0.2827465103128069,0.958361856007619,HHI monetário > HHI frequência,0.8184617236074982
11149280000110,0.6135087740055182,0.1604938271604938,1.6299685389519882,6.230769230769231,0.7747064969100278,0.9589417629985688,HHI monetário > HHI frequência,0.26159988896760306
11166368000140,0.153831993848772,0.1020408163265306,6.500598314958282,9.8,0.2058946997455339,0.6964213392207774,HHI monetário > HHI frequência,0.6633263586692124
11171868000170,0.2495721974765049,0.15625,4.006856573413556,6.4,0.3603753447821808,0.889849889808308,HHI monetário > HHI frequência,0.626071339595868
11188015000141,0.1064472486547641,0.0775999999999999,9.394324537623868,12.886597938144332,0.1710714658119438,0.5603707124893789,HHI monetário > HHI frequência,0.7289995841196121
11221619000142,0.1150183143517055,0.0401753104455807,8.694267566312766,24.89090909090908,0.2091567123934314,0.6123868202287078,HHI monetário > HHI frequência,0.34929489857355905
