orgao_cnpj,portfolio_hhi,exposicao_strength,hhi_alto_q4,exposicao_alta_q4,quadrante
22257307000105,0.6197170802244238,0.5171333082004912,True,False,HHI alto / exposição baixa
22604896000150,0.1532490352923083,0.4531673889998772,False,False,HHI baixo / exposição baixa
22936439000163,0.4333952300360554,0.8610610591324894,True,False,HHI alto / exposição baixa
23848604000198,0.9051456505695818,0.9183623894620891,True,True,HHI alto / exposição alta
23848859000150,0.9053418668552656,0.9231376089364206,True,True,HHI alto / exposição alta
25769548000121,0.1066487214125394,0.9602042853077112,False,True,HHI baixo / exposição alta
26938926000116,0.6751457677526279,0.98305913340939,True,True,HHI alto / exposição alta
27108141000189,0.7636281164003297,0.9794634114225538,True,True,HHI alto / exposição alta
27562511000153,0.2464794040886927,0.8116134793477463,False,False,HHI baixo / exposição baixa
27611852000171,0.2460070507476748,0.8737214903909368,False,False,HHI baixo / exposição baixa
27780220000131,0.2579346786169961,0.9221176277681772,False,True,HHI baixo / exposição alta
27834977000160,0.4952239235365877,0.9758623376644862,True,True,HHI alto / exposição alta
29112760000172,0.5854652949462316,0.9384694730314522,True,True,HHI alto / exposição alta
30753960000193,0.5165116469898464,0.5734148788910572,True,False,HHI alto / exposição baixa
30753994000188,0.254534678932805,0.9709883789206962,False,True,HHI baixo / exposição alta
31030892000105,0.0814145985518505,0.8762632054662217,False,False,HHI baixo / exposição baixa
31724255000120,0.4400080718715813,0.7205374595845747,True,False,HHI alto / exposição baixa
32001836000105,0.1317824463272859,0.8032427949131111,False,False,HHI baixo / exposição baixa
32370759000152,0.2974778317507576,0.8363621447529335,False,False,HHI baixo / exposição baixa
32504706000187,0.1555689079017702,0.714952456684589,False,False,HHI baixo / exposição baixa
37622644000121,0.2621066186484805,0.6018641955482434,False,False,HHI baixo / exposição baixa
40637159000136,0.1256945890383856,0.8913924768353542,False,False,HHI baixo / exposição baixa
41779117000100,0.2188774795666178,0.7628622406008557,False,False,HHI baixo / exposição baixa
44497659000170,0.4734401957851448,0.4187451257176298,True,False,HHI alto / exposição baixa
44616474000138,0.06502827528233,0.4570582010095527,False,False,HHI baixo / exposição baixa
46139952000191,0.3989901680464943,0.8570015330914003,False,False,HHI baixo / exposição baixa
46190305000104,0.3331127457188564,0.6881211563497786,False,False,HHI baixo / exposição baixa
46675997000180,0.2481825572480381,0.7056280503608072,False,False,HHI baixo / exposição baixa
46709309000156,0.2678876576384843,0.7095706766601452,False,False,HHI baixo / exposição baixa
46854998000192,0.2493740151341959,0.6014983223596619,False,False,HHI baixo / exposição baixa
46965083000154,0.2236142326056898,0.9356855627543011,False,True,HHI baixo / exposição alta
48962625000160,0.2476810740155492,0.8611783326378378,False,False,HHI baixo / exposição baixa
49286753000102,0.3606301471065781,0.7210100060594031,False,False,HHI baixo / exposição baixa
50062751000100,0.1984188984594895,0.55835896225513,False,False,HHI baixo / exposição baixa
54675103000180,0.3588094518199501,0.7173782525570688,False,False,HHI baixo / exposição baixa
57500902000104,0.4427656536477387,0.9381246392992344,True,True,HHI alto / exposição alta
57522468000163,0.4041526245842868,0.4462168720568806,True,False,HHI alto / exposição baixa
57538696000121,0.2744314419463249,0.5542592488750123,False,False,HHI baixo / exposição baixa
59006460000170,0.3148581723705672,0.8714745624334025,False,False,HHI baixo / exposição baixa
59989830000136,0.2598561204325467,0.172290776994,False,False,HHI baixo / exposição baixa
72962806000171,0.2179297355380609,0.9100445057652816,False,True,HHI baixo / exposição alta
74047341000159,0.813721172470854,0.7874266445140782,True,False,HHI alto / exposição baixa
79376760000158,0.1246101683831999,0.837634525526592,False,False,HHI baixo / exposição baixa
80636475000108,0.1561872417002754,0.9247670509287392,False,True,HHI baixo / exposição alta
81286254000110,0.0966884672310565,0.8616674258987113,False,False,HHI baixo / exposição baixa
82568221000125,0.7093650987261882,0.8376276953663928,True,False,HHI alto / exposição baixa
82636028000184,0.943483706328319,0.9788553363521494,True,True,HHI alto / exposição alta
82702879000188,0.3188565916630999,0.3173309116959036,False,False,HHI baixo / exposição baixa
82985003000196,0.1805215713444126,0.94068389272805,False,True,HHI baixo / exposição alta
83108035000176,0.5162519009321646,0.9469501865825732,True,True,HHI alto / exposição alta
83145375000177,0.1223520820494358,0.8050261191399692,False,False,HHI baixo / exposição baixa
83156455000128,0.4262168402391702,0.9180074853121516,True,True,HHI alto / exposição alta
83158105000109,0.2287975383253824,0.4585211325783171,False,False,HHI baixo / exposição baixa
83222034000158,0.2295473246778484,0.4639907026006701,False,False,HHI baixo / exposição baixa
83684324000113,0.1717612638106541,0.7542467276131879,False,False,HHI baixo / exposição baixa
84438381000185,0.7581032796356979,0.7926286361939792,True,False,HHI alto / exposição baixa
84591890000143,0.5605519745893179,0.6425267726879796,True,False,HHI alto / exposição baixa
84703248000109,0.3581138788642748,0.9394199807540148,False,True,HHI baixo / exposição alta
85908309000137,0.3118332668842191,0.4490870878656253,False,False,HHI baixo / exposição baixa
89421259000110,0.3025357377222033,0.7926925852188601,False,False,HHI baixo / exposição baixa
90896275000148,0.2344072738851561,0.5402728203776316,False,False,HHI baixo / exposição baixa
