orgao_cnpj,portfolio_hhi_abr,portfolio_hhi_norm_abr,portfolio_cr1_abr,portfolio_cr4_abr,count_hhi_abr,count_hhi_norm_abr,n_fornecedores_abr,n_instrumentos_abr,exposicao_strength_global_abr,exposicao_degree_global_abr,portfolio_hhi_mai,portfolio_hhi_norm_mai,portfolio_cr1_mai,portfolio_cr4_mai,count_hhi_mai,count_hhi_norm_mai,n_fornecedores_mai,n_instrumentos_mai,exposicao_strength_global_mai,exposicao_degree_global_mai,delta_portfolio_hhi,delta_portfolio_hhi_norm,delta_portfolio_cr1,delta_portfolio_cr4,delta_count_hhi,delta_count_hhi_norm,delta_n_fornecedores,delta_n_instrumentos,delta_exposicao_strength_global,delta_exposicao_degree_global
13872416000141,0.1749028948579683,0.0373867106676297,0.2746566791510612,0.7550561797752808,0.1428571428571428,0.0,7,7,0.6936946971095987,0.6146262962892152,0.1078572626011891,0.048381080107935,0.1750872110235846,0.5328515380079485,0.0625,0.0,16,16,0.6836654561389719,0.6481907327078982,-0.06704563225677922,0.010994369440305303,-0.09956946812747658,-0.22220464176733234,-0.0803571428571428,0.0,9,9,-0.010029240970626851,0.03356443641868301
13886006000150,0.0494914248127921,0.0406081671007622,0.1220050701974216,0.3505308785084786,0.0265303140978816,0.0174324665660861,108,370,0.9444345003267184,0.993690237844094,0.0446192494435568,0.0361645525359776,0.1123079385663437,0.3229657728680083,0.0252074987982695,0.0165810164867497,114,395,0.9486184133991158,0.9953400260527058,-0.0048721753692352945,-0.0044436145647845995,-0.009697131631077896,-0.027565105640470267,-0.0013228152996121005,-0.0008514500793363987,6,25,0.004183913072397405,0.0016497882086117244
13917262000167,0.7646639594923047,0.7478542423131836,0.8689946494016978,0.9881032071108576,0.0703125,0.00390625,15,16,0.9799093919754782,0.9111726555086572,0.4422715077987,0.4190328206236459,0.5901034745751829,0.9698883524811625,0.0439952437574316,0.0041617122473246,25,29,0.9729589463166476,0.7568335984673155,-0.3223924516936047,-0.32882142168953776,-0.27889117482651493,-0.018214854629695187,-0.0263172562425684,0.00025546224732459974,10,13,-0.0069504456588306285,-0.15433905704134177
13927758000111,0.4435135205496938,0.3507657739746427,0.6127681865276855,0.9796764451222354,0.1851851851851851,0.0493827160493827,7,9,0.9808442215052922,0.8885976556084474,0.440137938639955,0.3601576441599485,0.6104216739433541,0.975924907171026,0.16,0.04,8,10,0.9796957270098984,0.8962112965939034,-0.0033755819097388007,0.009391870185305795,-0.002346512584331384,-0.003751537951209416,-0.02518518518518509,-0.009382716049382699,1,1,-0.0011484944953937815,0.007613640985456027
13953949000158,0.0212013042071041,0.011213562413299,0.0545137149486105,0.1891725024562145,0.0178562446557014,0.0078343696011677,99,141,0.4289639022012568,0.4285897730565356,0.0198252047224752,0.0104004470755759,0.0523048363904717,0.1815072922451898,0.0183842131894079,0.0089455998546907,105,154,0.4135020709498029,0.446766297547113,-0.0013760994846288982,-0.0008131153377231009,-0.0022088785581388035,-0.007665210211024703,0.0005279685337064993,0.0011112302535230007,6,13,-0.015461831251453895,0.018176524490577384
13954199000139,0.1395329028107118,0.1246972632039999,0.2800034238299454,0.5918896878484744,0.0298792116973935,0.0131529912094175,59,143,0.7918354147141093,0.8905082746324771,0.139248769996609,0.1244082315482747,0.2796922392553355,0.5912318853894554,0.0301890432098765,0.0134681646445295,59,144,0.7910322923833919,0.8907958739251842,-0.0002841328141027777,-0.0002890316557252054,-0.0003111845746099351,-0.0006578024590190301,0.0003098315124830005,0.00031517343511200044,0,1,-0.0008031223307174429,0.00028759929270716356
13959466000160,0.9782658087887997,0.9710210783850662,0.9890500579675064,1.0,0.3333333333333333,0.1111111111111111,4,6,0.9944744666196887,0.9704416304722058,0.9623754884034222,0.9548505860841068,0.9809673949460916,0.9944787468491728,0.21875,0.0625,6,8,0.9886652760615098,0.967775424474286,-0.01589032038537741,-0.01617049230095946,-0.008082663021414804,-0.005521253150827188,-0.11458333333333331,-0.048611111111111105,2,2,-0.005809190558178967,-0.0026662059979197794
13959501000141,0.1713776786164181,0.0793085317960201,0.2486892365580104,0.7622851250735694,0.1,3.0839528461809905e-17,10,10,0.6272625667517139,0.7733758442029995,0.1713776786164181,0.0793085317960201,0.2486892365580104,0.7622851250735694,0.1,3.0839528461809905e-17,10,10,0.6579581874768795,0.7765219185971771,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.03069562072516563,0.003146074394177578
14004655000142,0.0261110740480898,0.0106525196679007,0.0563185106976979,0.1927512257319345,0.0160697887970615,0.0004518489366974,64,66,0.7837000101005661,0.4234765344611493,0.0243524301800834,0.0100046718003787,0.0522881438003826,0.1789572146690904,0.0151998498780258,0.0007174947291733,69,73,0.7768062215723814,0.4225623740251573,-0.0017586438680064,-0.0006478478675219987,-0.004030366897315299,-0.013794011062844114,-0.0008699389190357024,0.0002656457924759,5,7,-0.0068937885281846745,-0.0009141604359920175
14007211000160,0.2743561427836611,0.2691729723749729,0.5158312751381573,0.6176253937567112,0.0143363130376117,0.0072958581307375,141,385,0.9508730525205816,0.6851219179025241,0.1802157980175498,0.1756102687929293,0.4118170340754974,0.5185907646760718,0.0125956346308114,0.0070484190950294,179,578,0.9400398122377824,0.7206303351796032,-0.0941403447661113,-0.0935627035820436,-0.10401424106265988,-0.09903462908063942,-0.0017406784068003008,-0.0002474390357081,38,193,-0.010833240282799195,0.035508417277079096
14008675000191,0.1589360165323009,0.0538030185988386,0.240202703057732,0.6873800685835432,0.12,0.01,9,10,0.8136637129188854,0.6006761545036524,0.1371370031495773,0.0586949125268117,0.2178228494263098,0.6233363874416232,0.0887573964497041,0.0059171597633136,12,13,0.8060027515595349,0.6206270867760548,-0.02179901338272361,0.0048918939279731025,-0.022379853631422197,-0.06404368114191994,-0.0312426035502959,-0.0040828402366864,3,3,-0.00766096135935046,0.01995093227240241
14016436000183,0.4404767061422341,0.2539689415229789,0.6145147437732608,1.0,0.28,0.04,4,5,0.8043662631125655,0.9933848401007837,0.3975038386963679,0.2468797983704598,0.5816679086782738,0.9588781247882934,0.2222222222222222,0.0277777777777778,5,6,0.8277183637821331,0.9948468304316695,-0.0429728674458662,-0.007089143152519073,-0.03284683509498698,-0.04112187521170663,-0.05777777777777782,-0.0122222222222222,1,1,0.02335210066956761,0.0014619903308858984
14088281000190,0.7807119278969336,0.7258899098711669,0.8803835437516895,0.99391689927673,0.2,3.4694469519536136e-17,5,5,0.9384173565895864,0.9121521425465864,0.7631705221662817,0.715804626599538,0.8703630353337442,0.983321501942484,0.1666666666666666,3.3306690738754695e-17,6,6,0.9479456307975456,0.9547299228963532,-0.017541405730651882,-0.010085283271628831,-0.010020508417945329,-0.01059539733424597,-0.03333333333333341,-1.3877787807814407e-18,1,1,0.009528274207959209,0.04257778034976678
14120591000145,0.3596565310203573,0.1462087080271431,0.4699916973075554,1.0,0.2777777777777778,0.037037037037037,4,6,0.8500517686448121,0.9268998586104198,0.3289867527952911,0.1947841033543494,0.4487883952098563,0.9783339261728932,0.1875,0.025,6,8,0.8512951838864697,0.9295616566612428,-0.03066977822506617,0.04857539532720628,-0.021203302097699106,-0.021666073827106835,-0.09027777777777779,-0.012037037037036999,2,2,0.0012434152416576083,0.0026617980508230055
14153138000135,0.7116929201960673,0.6705061945097912,0.8402301077699581,0.9616187255967245,0.14,0.0171428571428571,8,10,0.941158750631545,0.4120034487684066,0.7116929201960673,0.6705061945097912,0.8402301077699581,0.9616187255967245,0.14,0.0171428571428571,8,10,0.936394788274053,0.4073314997408038,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.004763962357491991,-0.0046719490276028175
14164340000162,0.1127782186195258,0.0494052342352062,0.2078931330299496,0.5661375497690592,0.0666666666666666,0.0,15,15,0.7947636858446645,0.6035643738501326,0.1127782186195258,0.0494052342352062,0.2078931330299496,0.5661375497690592,0.0666666666666666,0.0,15,15,0.7864391961112025,0.5984222077759559,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.008324489733462004,-0.005142166074176724
14285358000112,0.148882610142514,0.0715083019736516,0.2189616605922195,0.737380531527163,0.0918367346938775,0.0092764378478664,12,14,0.5527329724191341,0.9566912280149376,0.0855014985100263,0.0373699984316067,0.1383183728111575,0.4831207135031677,0.0727023319615912,0.023897191538517,20,27,0.65710531426144,0.9769688440893344,-0.0633811116324877,-0.0341383035420449,-0.080643287781062,-0.2542598180239953,-0.019134402732286296,0.0146207536906506,8,13,0.10437234184230593,0.02027761607439682
14355640000129,0.2073862604495756,0.1083095430057725,0.2988456489119478,0.8782054557859357,0.1111111111111111,0.0,9,9,0.6523629801983857,0.5608261030410523,0.1645594060608814,0.0810153466669696,0.2459353647430504,0.724195785208906,0.0909090909090909,0.0,11,11,0.6333914008024094,0.5400551616458301,-0.042826854388694185,-0.027294196338802895,-0.052910284168897426,-0.15400967057702963,-0.020202020202020207,0.0,2,2,-0.018971579395976268,-0.020770941395222176
14381482000181,0.6323338893427716,0.5404173616784644,0.7874310614829441,0.9710628446925852,0.2,3.4694469519536136e-17,5,5,0.901151899617022,0.8467572590190049,0.1733101693904293,0.0906411863294722,0.3000209936869123,0.7274705538733871,0.0909090909090909,0.0,11,11,0.8273768078327586,0.5687603749166603,-0.45902371995234226,-0.4497761753489922,-0.48741006779603174,-0.2435922908191981,-0.10909090909090911,-3.4694469519536136e-17,6,6,-0.07377509178426345,-0.2779968841023446
14387430000112,0.1032809681718001,0.0712552884636501,0.2316617171389125,0.5446081995192856,0.0437317784256559,0.0095793419408579,29,49,0.7354520225156241,0.8398309421711516,0.0748180586458935,0.0498131413119987,0.1915136319818506,0.4435346593982489,0.0354967443814324,0.0094290888241739,38,69,0.6995181037191888,0.7896043226746506,-0.028462909525906605,-0.0214421471516514,-0.04014808515706192,-0.10107354012103675,-0.008235034044223495,-0.0001502531166840005,9,20,-0.03593391879643537,-0.05022661949650098
