orgao_cnpj,valor_total_raiz,n_instrumentos_raiz,n_fornecedores_raiz,portfolio_hhi_raiz,count_hhi_raiz,portfolio_cr1_raiz,portfolio_cr4_raiz,portfolio_neff_raiz,portfolio_hhi_norm_raiz,count_hhi_norm_raiz,exposicao_degree_global_raiz,exposicao_strength_global_raiz,exposicao_strength_loo_raiz,exposicao_degree_loo_raiz
13128780003389,97623863.2,10,9,0.5558255181911674,0.12000000000000002,0.7127600883551185,0.9974223054512351,1.7991257458893166,0.5003037079650634,0.010000000000000033,0.3992347286121452,0.9973078964420762,0.0021734711497171113,0.002331942688873996
13128780003974,2532887.82,56,6,0.30717859702453604,0.29209183673469385,0.48855483066755,0.920809757772849,3.2554351432242674,0.16861431642944325,0.15051020408163263,0.8702056242519689,0.9073227474909361,0.4531429896153358,0.6151321347181087
13128780004431,9533607.299999999,7,7,0.712826187956022,0.14285714285714285,0.8391367032707545,0.9801033738824126,1.4028665288903432,0.6649638859486924,0.0,0.9147531305233084,0.9800222551993385,0.9038061640521833,0.8534411013847615
13128780004512,72755.6,15,4,0.48709915034482243,0.6533333333333335,0.5056188114729312,0.9999999999999999,2.052970117669246,0.31613220045976326,0.537777777777778,0.6949209209687621,0.6965881313292777,0.45559394329476255,0.5009670425274093
13128780009581,1755399.0899999999,10,6,0.49712346065649027,0.24000000000000007,0.6773905186426865,0.9689937232450085,2.01157273623623,0.3965481527877883,0.08800000000000009,0.8097529833082794,0.9155331341438779,0.5791133518164164,0.4439867581116034
13128780009905,695570.06,37,33,0.05187098996129785,0.04163623082542002,0.0995401670968989,0.35832071322908865,19.278598707025317,0.02224195839758841,0.011687363038714395,0.5101642915028397,0.5211968188355797,0.1426809000674704,0.18104933316215396
13128814001049,14656985.25,9,9,0.7264073924493722,0.1111111111111111,0.8495522638258778,0.9601198854996459,1.3766379725681221,0.6922083165055439,0.0,0.43498872429338303,0.9808056619765818,0.06297686803165586,0.05459997523607364
13133909000160,7970784.87,70,62,0.08556819390923812,0.0183673469387755,0.1542860257875709,0.5325473951726412,11.686585334040082,0.07057750856348792,0.0022750083640013298,0.6932669255145436,0.8991149471359022,0.48096685507159714,0.43403543089576085
13153852000160,1186833.8699999999,17,14,0.11334946798798473,0.07958477508650517,0.16673774232614375,0.576772889031217,8.822273432337608,0.04514558091013741,0.008783603939313269,0.5867209504644075,0.7540872921983923,0.3192956496205226,0.16698644386863087
13170158000151,4164462.525,371,98,0.56334591851044,0.02613320158964262,0.7385170310783383,0.9380083279774502,1.775108272097063,0.5588443300414755,0.01609333768850492,0.8162241893271984,0.9558793967715884,0.4634878110757908,0.43660792464947795
13182493000170,505259.0,9,9,0.3838718655550665,0.1111111111111111,0.5937548861079169,0.8652987873546043,2.6050359240420806,0.3068558487494499,0.0,0.6840382485723109,0.7556159392160676,0.5461757126656499,0.2665560193725517
13183513000127,13053846.94,24,21,0.25298507843727214,0.05555555555555556,0.401638614586054,0.8486222621513286,3.952802300345753,0.21563433235913576,0.00833333333333334,0.4652068809282567,0.9590043487213729,0.11760345839627331,0.1128687033552416
13240198000122,95391.44,9,8,0.3678067297519032,0.13580246913580246,0.5660885295368222,0.9022291727643487,2.7188192034292857,0.2774934054307465,0.01234567901234567,0.4273155516813388,0.46074966499606185,0.018303699088914854,0.04801664128189198
13244984000106,1031798.0,6,6,0.5859200766384889,0.16666666666666669,0.7545740542237919,0.9611261118939947,1.7067174173944502,0.5031040919661867,3.3306690738754695e-17,0.7638125589068665,0.8678073908080686,0.6705162044488336,0.3235969504140161
13286669000133,7767.6,9,4,0.3660418585318032,0.48148148148148145,0.47172871929553534,1.0000000000000002,2.7319279931836427,0.15472247804240427,0.30864197530864196,0.7840743618799427,0.5972045587183451,0.5497110175114244,0.6454621214412775
13358623000182,220095.0,12,12,0.11367181197048618,0.08333333333333334,0.13998500647447693,0.5466321361230377,8.797255737065585,0.03309652214962129,1.5139404881252137e-17,0.7325407525754097,0.5775934590115122,0.3834891014995574,0.46760386569448587
