orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global
10589926000118,227883.1,10,5,0.8513335555875887,0.24000000000000002,0.9215251152893742,0.9940403654329786,1.1746277278003003,0.8141669444844859,0.05000000000000001,0.6113335555875887,0.7641669444844859,0.4427704889121009,0.7737561262586619
10589928000107,1972418.2,20,19,0.12386327618805991,0.055000000000000014,0.24487707018724528,0.5712442016606823,8.073417971616653,0.07518901375406324,0.002500000000000018,0.0688632761880599,0.07268901375406323,0.618166725928161,0.8277735639113054
10590600000100,78000.0,1,1,1.0,1.0,1.0,1.0,1.0,,,0.0,,0.8537099988278045,0.6784081584808346
10593919000190,10762432.279999997,153,77,0.09366171788173974,0.02661369558716732,0.22401999262568184,0.5039049592979182,10.676720677519835,0.08173621416965737,0.013805981055419522,0.06704802229457242,0.06793023311423785,0.6405427843967497,0.8870393728144935
10594533000100,8728324.3387,430,142,0.09709891911431988,0.018377501352082208,0.204198006494504,0.5324282473549965,10.298775816676653,0.0906953653491732,0.011415639659543782,0.07872141776223768,0.07927972568962942,0.6497541514165464,0.9128047674997666
10596772000191,1401619.2750000001,90,29,0.4213701346342146,0.058765432098765426,0.49942235561793347,0.9417613067571436,2.3732104337866415,0.40070478229972223,0.025149911816578475,0.36260470253544913,0.37555487048314373,0.9353665264246578,0.9560793169481889
10606509000136,3629548.19,20,15,0.40497221356905694,0.07500000000000002,0.617559377273346,0.8195643353615315,2.469305217725703,0.3624702288239896,0.008928571428571456,0.3299722135690569,0.35354165739541815,0.4042429999189528,0.8903106632057964
10606542000166,99700.0,6,6,0.244443460773494,0.16666666666666669,0.3510531594784353,0.884653961885657,4.090925553237112,0.0933321529281928,3.3306690738754695e-17,0.07777679410682731,0.09333215292819277,0.45358840558717534,0.4298169975875346
10624466000111,1862953.0710000002,132,54,0.7696417211145861,0.031106519742883382,0.8760285083960657,0.9371554534451287,1.2993058621507834,0.7652953384941066,0.012825510681428353,0.7385352013717027,0.7524698278126782,0.4690557130124341,0.9514666496862949
10624592000176,534636.65,4,3,0.5531382442338522,0.375,0.7158082035715284,1.0,1.8078663162860722,0.32970736635077824,0.06250000000000001,0.17813824423385216,0.26720736635077824,0.4594990786917334,0.8190712144853693
