orgao_cnpj,valor_total_publicado_jan_assinado_2025,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_hhi_10000,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_hhi_10000,count_cr1,count_cr4,count_neff,count_entropy_norm,hhi_gap_value_minus_count,n_municipios_unidade,n_ufs_unidade,shared_procurement_share,category_mix_hhi,n_categorias,categoria_cr1,exposicao_degree,exposicao_strength
14008675000191,288000.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.3954248366013072,0.8764705882352941
14144296000129,77000.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1.0,1,1.0,0.3954248366013072,0.7265795206971678
14355640000129,100000.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.8945533769063181,0.8261437908496732
14381482000181,65880.0,2,2,0.5039830657496159,5039.830657496159,0.5446265938069217,1.0,1.9841936524446844,0.9942459970183951,0.5,5000.0,0.5,1.0,2.0,1.0,0.003983065749615933,1,1,0.0,1.0,1,1.0,0.835511982570806,0.7120309852335995
14387430000112,95220.0,2,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.835511982570806,0.8322440087145969
14444354000130,52000.0,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.9383442265795207,0.9250544662309368
14454427000174,186720.0,3,3,0.40072759233682037,4007.2759233682036,0.5437017994858612,1.0,2.4954608046043356,0.9133186896164314,0.3333333333333333,3333.333333333333,0.3333333333333333,1.0,3.0,0.9999999999999998,0.06739425900348706,1,1,0.0,1.0,1,1.0,0.6347010097955206,0.7426584001209738
14464143000169,426086.8,6,6,0.35745982981210667,3574.598298121067,0.4426797544537874,0.9883619957248148,2.7975171378715054,0.6400878383249767,0.16666666666666669,1666.6666666666667,0.16666666666666666,0.6666666666666666,5.999999999999999,0.9999999999999999,0.19079316314543998,1,1,0.0,0.5340608339637576,2,0.6305006397757452,0.3954248366013072,0.7883774362355778
14491667000149,4083.55,1,1,1.0,10000.0,1.0,1.0,1.0,0.0,1.0,10000.0,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,1,1.0,0.9183006535947712,0.6065359477124183
14492062000172,183370.26,6,6,0.46011049613172517,4601.104961317252,0.6544136437391755,0.9406508994424723,2.173390975444537,0.63680744424036,0.16666666666666669,1666.6666666666667,0.16666666666666666,0.6666666666666666,5.999999999999999,0.9999999999999999,0.2934438294650585,1,1,0.0,0.547687146745618,2,0.6544136437391755,0.3954248366013071,0.6718672387134426
14498649000199,133600.0,3,3,0.3793251819713866,3793.251819713866,0.4491017964071856,1.0,2.636260516116835,0.9297008511317777,0.3333333333333333,3333.333333333333,0.3333333333333333,1.0,3.0,0.9999999999999998,0.04599184863805328,1,1,0.0,1.0,1,1.0,0.8677351179992955,0.8059710644071334
