orgao_cnpj,portfolio_hhi_mai,portfolio_hhi_norm_mai,portfolio_cr1_mai,portfolio_cr4_mai,count_hhi_mai,count_hhi_norm_mai,exposicao_strength_global_mai,exposicao_degree_global_mai,n_fornecedores_mai,n_instrumentos_mai,quadrante_mai,exposicao_oculta_mai,portfolio_hhi_jun,portfolio_hhi_norm_jun,portfolio_cr1_jun,portfolio_cr4_jun,count_hhi_jun,count_hhi_norm_jun,exposicao_strength_global_jun,exposicao_degree_global_jun,n_fornecedores_jun,n_instrumentos_jun,quadrante_jun,exposicao_oculta_jun,delta_hhi,delta_hhi_norm,delta_exposicao_strength,quadrante_estavel
29957183000110,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.0244174839474335,0.4516729834980919,9,9,baixo_baixo,False,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.0237939368150002,0.4490488426266891,9,9,baixo_baixo,False,0.0,0.0,-0.000623547132433299,True
30024283000172,0.2514867806601233,0.101784136792148,0.3873123720040307,0.9292200970297584,0.1666666666666666,3.3306690738754695e-17,0.9217677792046488,0.4014183565818778,6,6,baixo_baixo,False,0.2468769649387212,0.1213564590951747,0.3836777381422473,0.9205000687687486,0.1428571428571428,0.0,0.9140836651993828,0.3989296410860706,7,7,baixo_baixo,False,-0.004609815721402122,0.019572322303026704,-0.0076841140052660295,True
30078127000194,0.2885969211566728,0.1463163053880073,0.439376503818391,0.9345468493914983,0.183673469387755,0.0204081632653061,0.631908965350874,0.4014183565818778,6,7,baixo_baixo,False,0.2885969211566728,0.1463163053880073,0.439376503818391,0.9345468493914983,0.183673469387755,0.0204081632653061,0.6244236280434246,0.3989296410860706,6,7,baixo_baixo,False,0.0,0.0,-0.007485337307449491,True
30391653000100,0.2112537677174432,0.1126604886821237,0.2587057088253045,0.8668125646886162,0.12,0.01,0.9700578683895938,0.608425375427692,9,10,oculta,True,0.2414219284449467,0.1571354760499408,0.4096220898608694,0.8455676717954415,0.1074380165289256,0.0082644628099173,0.9786721951796752,0.7349947194743396,10,11,oculta,True,0.0301681607275035,0.044474987367817104,0.00861432679008134,True
30497215000120,0.3513182045005677,0.1891477556257096,0.4181411316450318,0.9941416303797542,0.2222222222222222,0.0277777777777778,0.9525299083914412,0.7722162730065192,5,6,oculta,True,0.3428341218165982,0.2114009461799178,0.4129691977022758,0.9818452202613814,0.183673469387755,0.0204081632653061,0.9637524057489186,0.8765690157888858,6,7,oculta,True,-0.008484082683969496,0.022253190554208213,0.011222497357477379,True
30499841000156,0.2597285393199414,0.1980392509299365,0.459451037277245,0.7598279039982136,0.0769230769230769,1.503427012513233e-17,0.9078984687324662,0.4014183565818778,13,13,baixo_baixo,False,0.2597285393199414,0.1980392509299365,0.459451037277245,0.7598279039982136,0.0769230769230769,1.503427012513233e-17,0.9040288527931568,0.3989296410860706,13,13,baixo_baixo,False,0.0,0.0,-0.0038696159393093454,True
30543746000102,0.5268475726443008,0.432217087173161,0.7128543650617627,0.917709334294462,0.1666666666666666,3.3306690738754695e-17,0.8867742820119366,0.7903505617371908,6,6,hhi_alto,False,0.5268475726443008,0.432217087173161,0.7128543650617627,0.917709334294462,0.1666666666666666,3.3306690738754695e-17,0.8855685056366287,0.8113955754614558,6,6,hhi_alto,False,0.0,0.0,-0.0012057763753079431,True
30613786000183,0.6066300796567208,0.5672930876223928,0.7716303233677355,0.923553271835148,0.0909090909090909,0.0,0.9320438289825738,0.8062001861502183,11,11,critico,False,0.5648059779479148,0.5252428850340889,0.7436906396056581,0.9081191873535592,0.0833333333333333,1.5139404881252137e-17,0.9221831354326616,0.7883010361868031,12,12,hhi_alto,False,-0.041824101708806016,-0.04205020258830394,-0.009860693549912147,False
30629684000156,0.4486140801131598,0.3383368961357918,0.6502602183957197,0.8886251360193016,0.1666666666666666,3.3306690738754695e-17,0.7858932284063505,0.4014183565818778,6,6,hhi_alto,False,0.424116885374814,0.3281363662706163,0.6316457055556569,0.8631871289930629,0.1428571428571428,0.0,0.7690132257557266,0.3989296410860706,7,7,hhi_alto,False,-0.024497194738345773,-0.0102005298651755,-0.016880002650623838,True
30638611000120,0.5197113696941263,0.4510987082218586,0.6575474199717583,0.9812841400928068,0.173469387755102,0.0553935860058308,0.9628507671096076,0.5976374029292767,8,14,critico,False,0.2599082895684482,0.2277303891149024,0.3425949542929024,0.8766533175090269,0.0598958333333333,0.0190217391304347,0.9411926672420832,0.7444310437255244,24,48,oculta,True,-0.25980308012567815,-0.2233683191069562,-0.021658099867524427,False
