municipio_ibge,anexo,exercicio,status,n_registros
4206207,DCA-Anexo I-E,2025,ok,192
4206306,DCA-Anexo I-D,2025,ok,182
4206306,DCA-Anexo I-E,2025,ok,193
4206504,DCA-Anexo I-D,2025,ok,221
4206504,DCA-Anexo I-E,2025,ok,239
4206603,DCA-Anexo I-D,2025,ok,173
4206603,DCA-Anexo I-E,2025,ok,162
4206702,DCA-Anexo I-D,2025,ok,215
4206702,DCA-Anexo I-E,2025,ok,221
4206801,DCA-Anexo I-D,2025,ok,196
4206801,DCA-Anexo I-E,2025,ok,169
4207106,DCA-Anexo I-D,2025,ok,267
4207106,DCA-Anexo I-E,2025,ok,228
4207205,DCA-Anexo I-D,2025,ok,206
4207205,DCA-Anexo I-E,2025,ok,186
4207304,DCA-Anexo I-D,2025,ok,269
4207304,DCA-Anexo I-E,2025,ok,280
4207502,DCA-Anexo I-D,2025,ok,273
4207502,DCA-Anexo I-E,2025,ok,291
4207684,DCA-Anexo I-D,2025,ok,176
4207684,DCA-Anexo I-E,2025,ok,153
4207700,DCA-Anexo I-D,2025,ok,214
4207700,DCA-Anexo I-E,2025,ok,219
4207858,DCA-Anexo I-D,2025,ok,198
4207858,DCA-Anexo I-E,2025,ok,193
4207908,DCA-Anexo I-D,2025,ok,185
4207908,DCA-Anexo I-E,2025,ok,219
4208203,DCA-Anexo I-D,2025,ok,319
4208203,DCA-Anexo I-E,2025,ok,281
4208302,DCA-Anexo I-D,2025,ok,256
4208302,DCA-Anexo I-E,2025,ok,295
4208450,DCA-Anexo I-D,2025,ok,254
4208450,DCA-Anexo I-E,2025,ok,252
4208500,DCA-Anexo I-D,2025,ok,184
4208500,DCA-Anexo I-E,2025,ok,202
4208609,DCA-Anexo I-D,2025,ok,200
4208609,DCA-Anexo I-E,2025,ok,199
4208708,DCA-Anexo I-D,2025,ok,162
4208708,DCA-Anexo I-E,2025,ok,148
4208807,DCA-Anexo I-D,2025,ok,232
4208807,DCA-Anexo I-E,2025,ok,209
4208906,DCA-Anexo I-D,2025,ok,337
4208906,DCA-Anexo I-E,2025,ok,429
4209003,DCA-Anexo I-D,2025,ok,265
4209003,DCA-Anexo I-E,2025,ok,261
4209102,DCA-Anexo I-D,2025,ok,334
4209102,DCA-Anexo I-E,2025,ok,404
4209300,DCA-Anexo I-D,2025,ok,246
4209300,DCA-Anexo I-E,2025,ok,262
4209409,DCA-Anexo I-D,2025,ok,218
4209409,DCA-Anexo I-E,2025,ok,274
4209607,DCA-Anexo I-D,2025,ok,207
4209607,DCA-Anexo I-E,2025,ok,162
4209706,DCA-Anexo I-D,2025,ok,194
4209706,DCA-Anexo I-E,2025,ok,224
4209854,DCA-Anexo I-D,2025,ok,198
4209854,DCA-Anexo I-E,2025,ok,186
