orgao_cnpj,portfolio_hhi_from,portfolio_hhi_norm_from,portfolio_cr1_from,portfolio_cr4_from,count_hhi_from,count_hhi_norm_from,n_fornecedores_from,n_instrumentos_from,exposicao_strength_global_from,exposicao_degree_global_from,quadrante_from,exposicao_oculta_from,portfolio_hhi_to,portfolio_hhi_norm_to,portfolio_cr1_to,portfolio_cr4_to,count_hhi_to,count_hhi_norm_to,n_fornecedores_to,n_instrumentos_to,exposicao_strength_global_to,exposicao_degree_global_to,quadrante_to,exposicao_oculta_to,delta_portfolio_hhi,delta_portfolio_hhi_norm,delta_portfolio_cr1,delta_portfolio_cr4,delta_count_hhi,delta_count_hhi_norm,delta_n_fornecedores,delta_n_instrumentos,delta_exposicao_strength_global,delta_exposicao_degree_global,quadrante_estavel
12652881000104,0.1195454437338863,0.0314999881072749,0.1842180775735795,0.5677224503652728,0.0909090909090909,0.0,11,11,0.6673303983798013,0.7769467295033152,baixo_baixo,False,0.1255663274724674,0.0381229602197141,0.1876331670974808,0.6119545138288491,0.1005917159763313,0.0106508875739645,11,13,0.6952835848858687,0.7974289281697962,baixo_baixo,False,0.006020883738581104,0.006622972112439202,0.0034150895239012935,0.04423206346357633,0.009682625067240408,0.0106508875739645,0,2,0.027953186506067373,0.020482198666480933,True
12710978000126,0.1354502090310381,0.1307258932333935,0.3291796834309585,0.5790483427781836,0.0088914911289334,0.0034755976378347,184,271,0.9501246033549045,0.7865501276068813,oculta,True,0.1402583917470543,0.1356852980861344,0.2694456205415551,0.6318234464261026,0.0087987164225454,0.0035263691694738,189,278,0.964386594888536,0.6994288492067114,oculta,True,0.004808182716016185,0.0049594048527408785,-0.059734062889403416,0.05277510364791893,-9.27747063880005e-05,5.077153163910017e-05,5,7,0.014261991533631502,-0.08712127840016981,True
12769172000103,0.1576224183788199,0.0928241428694984,0.245298847586014,0.7159660113916786,0.0714285714285714,0.0,14,14,0.6956104528645594,0.5453883397901994,baixo_baixo,False,0.1268167259775222,0.0754530039762,0.2133974066159944,0.6284129497495388,0.0555555555555555,0.0,18,18,0.6868542090691933,0.5613032536475862,baixo_baixo,False,-0.030805692401297713,-0.017371138893298402,-0.031901440970019596,-0.08755306164213983,-0.0158730158730159,0.0,4,4,-0.008756243795366103,0.015914913857386748,True
12770455000175,0.3702050017452848,0.3387152518325491,0.5268556936409224,0.9510260245548494,0.0495867768595041,0.0020661157024793,21,22,0.9764036350332668,0.6528027542738062,oculta,True,0.3594606221500827,0.3348244922327782,0.5190779274628099,0.9369863963652588,0.04,0.003076923076923,27,30,0.9706153582441448,0.6540391570639537,critico,False,-0.010744379595202136,-0.0038907595997708655,-0.007777766178112544,-0.014039628189590592,-0.009586776859504098,0.0010108073744437003,6,8,-0.005788276789121971,0.0012364027901474728,False
12816116000182,0.0824794935026585,0.066382642511477,0.2092722645889713,0.4639503891119768,0.0337536220534106,0.0168019312122423,58,113,0.8057521301654594,0.9926655383222638,baixo_baixo,False,0.0620751670229034,0.0482821547732402,0.1738408880082613,0.389939669668897,0.0284529320987654,0.0141654752178649,69,144,0.8169546951448965,0.9935742134957616,baixo_baixo,False,-0.020404326479755097,-0.018100487738236803,-0.035431376580709995,-0.0740107194430798,-0.0053006899546452005,-0.0026364559943773992,11,31,0.011202564979437057,0.0009086751734977971,True
12877385000159,0.1525960708894217,0.1290570728585723,0.344204131505754,0.5899785093576287,0.034090909090909,0.0072601010101009,37,44,0.6452366995585697,0.4349297135611523,baixo_baixo,False,0.1137901195895483,0.0992620887631474,0.2944564601741719,0.5047091755822743,0.019242213846459,0.0031642173521386,62,71,0.6454610669213396,0.50816948116131,baixo_baixo,False,-0.03880595129987341,-0.029794984095424887,-0.049747671331582144,-0.0852693337753544,-0.014848695244449997,-0.0040958836579623,25,27,0.00022436736276998381,0.07323976760015771,True
12984850000150,0.340424342910901,0.1755304286386263,0.4023094961542762,0.99564157448457,0.2,3.4694469519536136e-17,5,5,0.7779877209787097,0.649964884274,baixo_baixo,False,0.2428791509003009,0.1797857468086593,0.3950804310794166,0.8222813234046241,0.3383373991367987,0.2831988490648652,13,73,0.7175074935777566,0.5985895555646029,baixo_baixo,False,-0.0975451920106001,0.004255318170032996,-0.0072290650748595975,-0.1733602510799459,0.1383373991367987,0.28319884906486514,8,68,-0.06048022740095316,-0.051375328709397095,True
12998458000160,0.1911097784120465,0.1333319054414783,0.3664444069928417,0.7198490307029998,0.0703125,0.00390625,15,16,0.8944924859809376,0.424372275987925,baixo_baixo,False,0.2636589338277991,0.2227510968182324,0.4452804084334983,0.8291459327030364,0.0566893424036281,0.0042831947593852,19,21,0.948861157988386,0.4031321980183181,oculta,True,0.0725491554157526,0.08941919137675411,0.07883600144065661,0.10929690200003661,-0.0136231575963719,0.00037694475938520027,4,5,0.05436867200744844,-0.021240077969606863,False
13018648000137,0.1668541925759474,0.0835396118335421,0.3052486559704158,0.7215084376356935,0.1122448979591836,0.023469387755102,11,14,0.8069129404909514,0.7055393277714949,baixo_baixo,False,0.1668541925759474,0.0835396118335421,0.3052486559704158,0.7215084376356935,0.1122448979591836,0.023469387755102,11,14,0.8060250547189706,0.7105178659874509,baixo_baixo,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0008878857719808453,0.004978538215956063,True
13019421000106,0.2610515262603115,0.2501846369406101,0.370169801595767,0.8941924988407056,0.0241999999999999,0.0098499999999999,69,100,0.8896279989220416,0.7553909683018218,baixo_baixo,False,0.2597429915386043,0.2493168364898522,0.3692213779536089,0.8919014602338691,0.0272727272727272,0.0135723431498079,72,110,0.8929294540839849,0.947609783234702,baixo_baixo,False,-0.0013085347217071663,-0.0008678004507579051,-0.000948423642158136,-0.0022910386068365485,0.0030727272727273,0.003722343149807999,3,10,0.0033014551619433563,0.19221881493288018,True
