orgao_cnpj,portfolio_hhi,portfolio_hhi_norm,n_fornecedores,n_instrumentos,exposicao_strength_global,exposicao_degree_global,exposicao_strength_loo,exposicao_degree_loo,contribuicao_propria_strength_media_ponderada,delta_strength_loo,delta_degree_loo
13884310000168,0.2344645726303022,0.1068753347353526,7,10,0.7035768619554511,0.9539093876173051,0.6702171741689338,0.8245020139202919,0.18077349319004904,-0.03335968778651732,-0.12940737369701327
13884527000178,0.4845866370670899,0.3557332963338623,5,5,0.9194171488484938,0.6986556254685877,0.6474029838014373,0.2652009693199756,0.5364137552366416,-0.27201416504705644,-0.4334546561486121
13886006000150,0.0418536879961467,0.0341885175001159,126,482,0.9558190553159084,0.9964353960538684,0.954607619878443,0.9960345323737535,0.01875340899641829,-0.0012114354374653802,-0.0004008636801149379
13886253000156,0.6416403123923508,0.5520503904904384,5,5,0.7535795227738813,0.4866634803468832,0.04723763309160445,0.07769494465456231,0.9723267597636298,-0.7063418896822768,-0.40896853569232094
13917262000167,0.3757585224138714,0.3605331205215268,42,63,0.965090934613061,0.7688832136359669,0.6275759567905442,0.6160670229002567,0.5018923865082942,-0.3375149778225167,-0.15281619073571018
13927758000111,0.4029678259675054,0.3486921737827332,12,14,0.9698445478642056,0.8738814134629188,0.8543972252677241,0.7931989392768675,0.37425684002295795,-0.1154473225964815,-0.08068247418605135
13953949000158,0.0176590140623588,0.0093340904527178,119,208,0.409758943777501,0.4519310436102023,0.03232679531574536,0.0647221261712691,0.948804305442763,-0.37743214846175566,-0.3872089174389332
13954199000139,0.1308397486007303,0.1161082189159969,60,151,0.8023828805581573,0.8965534991525842,0.7619919916813369,0.8254699053552306,0.22363750633797455,-0.04039088887682041,-0.07108359379735363
13959466000160,0.9228188246368456,0.9117929424421092,8,10,0.980777054682353,0.9569385582382852,0.9628911704172947,0.941056456015214,0.16527033613594597,-0.017885884265058327,-0.01588210222307118
13959501000141,0.1713776786164181,0.0793085317960201,10,10,0.6754227120308445,0.7793248102687962,0.5065802201885067,0.5907343796738755,0.4460006775755593,-0.1688424918423378,-0.18859043059492064
14004319000108,0.4334370910042425,0.3390099395049496,7,7,0.9184503844177492,0.8208750247555501,0.8356122890546952,0.4944268252682415,0.22951716714586579,-0.08283809536305398,-0.3264481994873086
14004655000142,0.0232475947114534,0.009293988921617,71,80,0.7832625769044621,0.4224311406141243,0.036117009044795124,0.02582828580911699,0.9716959705420167,-0.747145567859667,-0.3966028548050073
14007211000160,0.1523259297289914,0.1478408817381395,190,669,0.949316071849284,0.6464564199877797,0.38854526940240586,0.41276560597296713,0.6081409726101025,-0.5607708024468782,-0.23369081401481256
14008675000191,0.1132888936081547,0.0450803469626281,14,15,0.786470078153055,0.5893414155165734,0.32119516125867953,0.19875718270553552,0.800699997726418,-0.4652749168943755,-0.3905842328110378
14016436000183,0.1945326097612092,0.1441908978712848,17,18,0.8358015695241778,0.9957598915830947,0.834804616476641,0.9956274406997129,0.01124961495839342,-0.000996953047536886,-0.00013245088338187383
14088281000190,0.4187643564955063,0.3923445545180294,23,23,0.8405782202146045,0.9058522827569736,0.7697188778080802,0.8095548010522947,0.24872403306977403,-0.07085934240652425,-0.09629748170467889
14120591000145,0.3289867527952911,0.1947841033543494,6,8,0.8501600701306753,0.9349785735242602,0.8054971935580961,0.8977798612411443,0.2620910590455955,-0.04466287657257917,-0.03719871228311589
14153138000135,0.7116929201960673,0.6705061945097912,8,10,0.9354764109695828,0.4064933116645747,0.011147603585134516,0.0068374448201286376,0.9885419412494127,-0.9243288073844482,-0.39965586684444604
14158607000109,0.5008105043300639,0.2512157564950958,3,5,0.6192806307126991,0.6335470610851481,0.18951533188602646,0.2075452229456814,0.884720034579113,-0.4297652988266727,-0.42600183813946674
14164340000162,0.1127782186195258,0.0494052342352062,15,15,0.7803863286418107,0.5955116310972439,0.31187488650406464,0.18503933422969873,0.8121273476199278,-0.46851144213774604,-0.41047229686754516
14285358000112,0.0815202911451757,0.0355963057024345,21,28,0.6817702067433751,0.978268878039274,0.6797044773660181,0.9423557943851264,0.013379121538714919,-0.0020657293773569396,-0.03591308365414758
14355640000129,0.1446674335288114,0.0669099274859761,12,12,0.6165618355642969,0.5255830891794907,0.1518514529176912,0.19954234259631656,0.8932969674393786,-0.4647103826466057,-0.32604074658317417
14381482000181,0.1449760022626288,0.0792049255136002,14,14,0.801211371045037,0.5493075841261444,0.29366257243991073,0.13328913188107333,0.7488839506087747,-0.5075487986051264,-0.4160184522450711
14387430000112,0.0638483604712631,0.041015393653489,42,77,0.6832945358303624,0.7638400690728918,0.46023389579419327,0.5076623697562489,0.636139111218009,-0.2230606400361691,-0.2561776993166429
14440502000148,0.3061629446407223,0.1327036808009028,5,5,0.7481331800373072,0.6271660392033742,0.33357245707178435,0.3429797786994015,0.6539075198099813,-0.4145607229655229,-0.2841862605039727
14444354000130,0.3931187723438132,0.2717425268125759,6,6,0.9053817416579988,0.5990142054496028,0.4162650889633195,0.19557630835022766,0.6489726536679068,-0.4891166526946793,-0.40343789709937516
14454427000174,0.0788924015524875,0.0247096016438103,18,21,0.6473468852209774,0.6346907173579865,0.3224830679679154,0.34581081375298606,0.6794797677162534,-0.32486381725306196,-0.2888799036050005
14464143000169,0.2572702289490319,0.1829972518439351,11,12,0.69610446420976,0.4132175011124599,0.02176538803770111,0.024227556958424587,0.9763469909956778,-0.6743390761720589,-0.3889899441540353
14491667000149,0.0971757796607145,0.044068472581933,18,30,0.6310404654952285,0.709557496520722,0.3808997733145026,0.32637536162454817,0.5910773812221596,-0.25014069218072593,-0.3831821348961738
14491945000168,0.7978940652325972,0.7574728782791167,6,7,0.9494451610721462,0.9161435432145836,0.8985625430948495,0.8742874858077655,0.1334109728629732,-0.05088261797729665,-0.04185605740681808
