orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,pct_hhi_norm,pct_exposure_strength,gap_percentil_exposure_hhi,residuo_exposure_hhi,sobreexposicao_gap_q75,sobreexposicao_resid_q75
01280363000190,18009370.59,55,42,0.5072547203884036,0.0333884297520661,0.653089009481036,0.9647295452761296,1.9713961443952708,0.4952365428369012,0.0098125377947994,0.4738662906363374,0.4854240050421017,0.404606136247675,0.9732219018081736,0.8871566443949518,0.9361544172234595,0.0489977728285077,0.10423631462625393,False,False
01282378000198,304468.75000000006,99,37,0.2729473842149322,0.0609121518212427,0.3946858257210305,0.8436317356050498,3.663709776432775,0.2527514782209025,0.0348263782607217,0.2120352323936894,0.2179250999601808,0.9892717410957964,0.9495765818430608,0.6792873051224945,0.8411284335560505,0.16184112843355603,0.15513985571650335,False,True
01294821000140,108830.32,5,5,0.2908090286534612,0.2,0.411833761032771,0.9356796892630656,3.438682783097621,0.1135112858168265,3.4694469519536136e-17,0.0908090286534612,0.1135112858168265,0.7203286798075172,0.7414093490437119,0.3882702301410542,0.33556050482553823,-0.05270972531551599,-0.010219801394456107,False,False
01335616000186,298078.42000000004,11,8,0.5983323750215647,0.140495867768595,0.762685202102185,0.9608621784830984,1.6713118690325903,0.540951285738931,0.0177095631641086,0.4578365072529696,0.5232417225748224,0.8610819977332572,0.7760702434356306,0.9020044543429844,0.37639198218262804,-0.5256124721603563,-0.10696974343553145,False,False
01349236000109,945408.037,185,27,0.0797985653991157,0.0732505478451424,0.1408201779439706,0.4616215093589267,12.531553606239164,0.0444062025298509,0.0376063381468787,0.0065480175539732,0.0067998643829722,0.9989294309449628,0.968915944160482,0.1291759465478842,0.9250185597624351,0.7958426132145509,0.23853224758289815,True,True
01393989000103,384377.68,9,8,0.1581754634679916,0.1358024691358024,0.2320431040636907,0.7093863514655689,6.322093060927618,0.0379148153919904,0.0123456790123456,0.0223729943321892,0.0255691363796448,0.4542171986465636,0.6197926641823261,0.09725315515961395,0.17965850037119524,0.08240534521158129,-0.10859534033660123,False,False
01397083000167,186926.62,82,43,0.2111727137642919,0.0434265318262938,0.4092515020065093,0.7198870337461833,4.735460288284149,0.1923911117110608,0.0206509730602532,0.167746181937998,0.1717401386508075,0.9113668698440348,0.8089384270847968,0.5775798069784707,0.4350408314773571,-0.14253897550111355,0.03305870603943417,False,False
01404511000131,2791763.57,64,38,0.3428284843880246,0.05224609375,0.5625662061347122,0.8006283820087243,2.916910483051247,0.3250670920741874,0.0266311233108108,0.2905823906380246,0.2984359687633766,0.7106916518016232,0.8709507813674692,0.7676317743132888,0.5812917594654788,-0.18634001484780993,0.05428156575617149,False,False
01420402000108,686508.5800000001,24,20,0.5164917492658109,0.0555555555555555,0.7059876221794635,0.8959779643249325,1.9361393505733488,0.4910439465955904,0.0058479532163742,0.4609361937102553,0.4851959933792161,0.5233825405397051,0.8258932496730257,0.882702301410542,0.473645137342242,-0.40905716406829995,-0.0418033786398202,False,False
01465988000127,5503768.37,204,117,0.0642535314890936,0.017637447135717,0.1522460927984147,0.4359085209830514,15.56334689821273,0.0561867515881375,0.0091688044386111,0.0466160843533766,0.0470179471495264,0.6419934909751159,0.8055192993186204,0.18337045285820341,0.42835931700074237,0.24498886414253895,0.07151382703995235,True,False
