municipio_ibge,categoria,ano_assinatura,valor_total,n_fornecedores,hhi,hhi_10000,cr1,cr4,n_efetivo,entropia,entropia_normalizada,exposicao_degree,exposicao_strength
5208004,Compras,2025,5750.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.41744880546075086
5208004,Obras,2025,1650000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.7604166666666666
5208004,Serviços,2025,90000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.7785904255319149
5208004,Serviços de Saúde,2025,5947.2,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.11522633744855967
5208509,Compras,2025,55518.56,15.0,0.19426001583408237,1942.6001583408238,0.3242159018533622,0.7390951782611076,5.147739722486694,2.0351744488074557,0.7515275927968819,0.4003839590443686,0.4635922356999591
5208509,Serviços,2025,64524.630000000005,7.0,0.49395268229267647,4939.526822926765,0.6695117817800736,0.9495696449557323,2.0244854129721697,1.0383420199850475,0.5336022428831745,0.4863696808510638,0.5136041481575296
5208608,Compras,2025,71381.8,5.0,0.3303374026306561,3303.374026306561,0.39430218907340525,0.9968087103435328,3.027207915411507,1.1755413908720966,0.7304049331696293,0.40179104004264443,0.64153048252173
5208608,Serviços,2025,12000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.375
5208608,Serviços de Saúde,2025,4880040.0,16.0,0.09133653431834787,913.3653431834787,0.15983475545282416,0.48198785255858556,10.948521393581252,2.5431904044186693,0.9172620461228029,0.5,0.7669951298719369
5208707,Compras,2025,407358.0,3.0,0.5959600858974096,5959.600858974096,0.7462723206614329,1.0,1.6779647222417227,0.7142218195890959,0.6501127167027912,0.43578122019680066,0.9031464022212427
5208707,Locação Imóveis,2025,213960.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5714285714285714,1.0
5208707,Serviços,2024,23920.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.5619834710743802
5208707,Serviços,2025,3504.12,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.18617021276595744
5208707,Serviços de Engenharia,2025,64700.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.51,0.34
5208806,Compras,2025,2600.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.29159556313993173
5208806,Serviços,2025,17430.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.43351063829787234
5209101,Compras,2025,31600.0,2.0,0.600397372215991,6003.97372215991,0.7240506329113924,1.0,1.6655635855119186,0.5890868356417434,0.849872656433315,0.4003839590443686,0.6032574415691018
5209101,Serviços,2025,54072.0,2.0,0.9460575227506494,9460.575227506493,0.9722592099422992,1.0,1.0570181790770117,0.12679901578236352,0.18293231125881726,0.48636968085106386,0.6479688577168976
5209705,Compras,2025,441888.61,30.0,0.13036900557187664,1303.6900557187664,0.21468079930822387,0.6757997224685198,7.670534845405933,2.394696399767104,0.7040745158391315,0.5970793288333479,0.7336669809205473
5209705,Obras,2025,372178.62,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.4583333333333333
5209705,Serviços,2025,545306.06,13.0,0.27410694939566077,2741.069493956608,0.4896332896062075,0.7377207581371825,3.6482110439182844,1.7756172540339532,0.6922621099198758,0.4863696808510639,0.7261260589193885
5209952,Compras,2025,2847099.35,18.0,0.20760296390702684,2076.0296390702683,0.3616356239904308,0.7833139718148578,4.816886913270858,1.93603164960785,0.6698209821345069,0.5145196112270757,0.926013270921537
5210000,Compras,2025,1397738.44,47.0,0.1473288598747226,1473.2885987472262,0.23245677495998468,0.683648487194786,6.787536405632439,2.43117818437525,0.631450644462418,0.474862189400504,0.8527291201498222
5210000,Serviços,2025,73707.75,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.7533244680851063
5210109,Serviços,2025,59000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.7011303191489362
5210208,Compras,2025,36000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.7203498293515358
5210307,Compras,2025,76322.05,6.0,0.3175116821067805,3175.1168210678047,0.4496734560982049,0.9450355434635207,3.1494904167453464,1.3484420214007213,0.752579821431987,0.4003839590443686,0.6208222134857663
5210307,Serviços,2025,46780.0,3.0,0.4793219459758239,4793.219459758239,0.4918768704574605,1.0,2.086280439265425,0.7816660811335812,0.7115031291714616,0.4863696808510639,0.4786751504325362
5210604,Compras,2025,61515.0,2.0,0.5021406206816585,5021.406206816586,0.5327155978216696,1.0,1.9914740190556477,0.6910050298376043,0.9969095297760419,0.40038395904436863,0.6951533644642294
5210604,Locação Imóveis,2025,8750.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5714285714285714,0.14285714285714285
5210604,Serviços,2025,147380.0,3.0,0.3455685861194364,3455.685861194364,0.39082643506581627,1.0,2.893781553553531,1.0793381253018055,0.9824559004435759,0.48636968085106386,0.6565082338895257
5210901,Compras,2025,8025.74,2.0,0.6225987821846279,6225.987821846279,0.7475871383822551,1.0,1.6061708256015443,0.5649704520842893,0.8150800694707999,0.4003839590443686,0.3809834487655423
5210901,Serviços,2025,9542.0,2.0,0.8839825658416862,8839.825658416863,0.9381680989310417,1.0,1.1312440297369977,0.23197859162026663,0.3346743637229647,0.48636968085106386,0.3140011321726566
5210901,Serviços de Engenharia,2025,124845.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.51,0.46
5211206,Compras,2025,4268.99,2.0,0.5764235484078108,5764.235484078108,0.6954783215702075,1.0,1.7348354396037187,0.6146469689463719,0.8867481339963635,0.4003839590443686,0.2717267103495246
5211404,Serviços,2025,35350.0,2.0,0.5858749342301375,5858.749342301375,0.7072135785007072,1.0,1.7068489221407621,0.6046277812897449,0.8722935016504119,0.4863696808510638,0.45830731439405337
5211701,Compras,2025,9192.130000000001,2.0,0.5178999461624139,5178.999461624138,0.5946042973717734,1.0,1.9308748869543213,0.6751388722951619,0.9740195029715972,0.4003839590443685,0.38278353311947455
5211701,Serviços,2025,4700.0,2.0,0.5110909913988231,5110.909913988231,0.574468085106383,1.0,1.95659875996457,0.6820148175994905,0.9839393951635759,0.4863696808510639,0.14067451335445905
5211800,Serviços de Engenharia,2025,37000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.51,0.28
5211909,Compras,2025,32906.9,7.0,0.34395943410243823,3439.594341024382,0.42848156465665255,0.9423175686558138,2.907319587292318,1.3021275498739133,0.669161189434189,0.42965698718258993,0.5351283014370763
5211909,Serviços,2025,29565.87,4.0,0.39177025999114373,3917.702599911437,0.48654918661280727,1.0,2.5525163651334988,1.043859321728928,0.7529853334220208,0.9880877711729918,0.8736734394234572
5211909,Serviços de Saúde,2025,335787.0,4.0,0.9608769527217822,9608.769527217823,0.9801451515395176,1.0,1.0407159805086361,0.11291104077841141,0.08144809929631283,0.5,0.7761091224778357
5212204,Compras,2025,96642.05,7.0,0.3691548925865803,3691.548925865803,0.46563581794881215,0.9449514988558293,2.708890008183932,1.2190948489059084,0.626490822044248,0.4003839590443686,0.6813018494731552
5212204,Serviços,2025,548296.6399999999,27.0,0.23055650893233007,2305.5650893233005,0.43771926087309243,0.7197016563880458,4.337331462168812,2.0265685326543066,0.6148873912898469,0.48636968085106386,0.6986771100554215
5212303,Compras,2025,64877.71,9.0,0.21429383337231564,2142.9383337231566,0.3575958522580406,0.7853153263270235,4.6664898577020315,1.793548991356926,0.8162793234050363,0.41251358414192607,0.541648294962318
5212303,Serviços,2025,351440.73,18.0,0.13671562502400392,1367.156250240039,0.17072580062077608,0.6829032024831043,7.314452900496374,2.2147303239472484,0.7662441061074096,0.5069755887637549,0.6283940576733464
5212501,Compras,2025,1159107.4,3.0,0.8905393710835223,8905.393710835224,0.9424200035303028,1.0,1.1229149799219955,0.2464210954062655,0.2243021473071372,0.40038395904436863,0.9616489978621252
5212501,Serviços,2025,95397.0,3.0,0.4832587078938366,4832.587078938366,0.6320639013805466,1.0,2.069285009593003,0.867302550001998,0.7894528023653026,0.4863696808510639,0.6257936737606495
5213004,Compras,2025,58536.7,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.78839590443686
5213004,Serviços,2025,48000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.6416223404255319
5213103,Compras,2024,99283.96,11.0,0.25151071218901605,2515.1071218901607,0.3271068156427282,0.926417117125465,3.9759737917185696,1.5886751820416993,0.6625290103631997,0.5026455026455028,0.6303321893386995
5213103,Compras,2025,1555796.0,68.0,0.04166604191876394,416.66041918763943,0.08696942915395077,0.29824660173955964,24.000359860187697,3.529985573858381,0.8365870666684924,0.5187073317196266,0.7554519402371133
5213103,Serviços,2025,816849.01,26.0,0.2624382922957728,2624.382922957728,0.4309797351654989,0.8787542510457349,3.810419551400607,1.7511145817355274,0.5374655297350128,0.6036396263167295,0.8265936894363107
5213772,Compras,2025,184663.9,2.0,0.7822417608040324,7822.417608040324,0.8756605920269203,1.0,1.2783771592201154,0.3754827106182145,0.5417070445484438,0.4003839590443686,0.8502478921085793
5213806,Compras,2025,1548807.81,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.9842150170648464
5214507,Compras,2025,14242.6,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.4003839590443686,0.5716723549488054
5214507,Serviços,2025,55000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.6821808510638298
5214507,Serviços de Saúde,2025,144000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.49794238683127573
5214606,Compras,2025,254070.56,3.0,0.39023389514410356,3902.3389514410355,0.45413974763546,1.0,2.5625657136490543,1.0003775533741779,0.9105828905181593,0.600620063643877,0.8289413617609261
5214606,Obras,2025,1828603.36,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5104166666666666,0.8125
5214861,Compras,2025,5739.42,3.0,0.6322457376358828,6322.457376358828,0.7644309006833444,1.0,1.5816634901157862,0.6080547821722173,0.5534753146711892,0.40038395904436863,0.3217190620502818
5214861,Serviços,2025,7143.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48636968085106386,0.29986702127659576
5214903,Compras,2024,9693.84,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5026455026455027,0.5132275132275133
5214903,Compras,2025,24312.47,5.0,0.4880964692215951,4880.964692215951,0.6726733236071859,0.9702605288561795,2.0487753201631977,1.0319258268120022,0.6411715660726087,0.4941978298602594,0.5317309073114295
5214903,Serviços,2025,10083.33,2.0,0.5141899242346318,5141.899242346319,0.5842315980930903,1.0,1.9448066810886913,0.6788893646303465,0.9794303196644603,0.48636968085106386,0.24461901000241582
