id_compra,n_instrumentos,n_fornecedores,valor_inicial
05055033000152-1-000081/2025,1,1,1565469.0
05055033000152-1-000100/2025,1,1,103462.8
05055033000152-1-000102/2025,1,1,390912.0
05055033000152-1-000103/2025,1,1,10916.5
05058458000115-1-000002/2025,1,1,175000.0
05058458000115-1-000009/2025,1,1,12233.2
05058458000115-1-000028/2024,137,14,369755.05
05058458000115-1-000069/2025,1,1,983400.0
05058458000115-1-000083/2024,1,1,2545.0
05058458000115-1-000093/2024,1,1,387179.1
05058458000115-1-000103/2025,1,1,5054557.7
05058458000115-1-000108/2024,1,1,36108.0
05106805000138-1-000008/2024,1,1,400.0
05114647000168-1-000010/2025,1,1,2733.92
05127965000163-1-000005/2025,1,1,4499.95
05137967000133-1-000010/2024,1,1,19500.0
05140677000149-1-000004/2025,1,1,60000.0
05140677000149-1-000015/2025,1,1,156000.0
05150569000157-1-000010/2025,1,1,14400.0
05156411000194-1-000010/2025,1,1,8800.0
05196025000126-1-000003/2025,1,1,42848.04
05211356000198-1-000093/2024,5,5,30816.0
05211356000198-1-000094/2024,1,1,330.0
05211356000198-1-000095/2024,1,1,98399.6
05211356000198-1-000096/2024,1,1,3370.0
05211356000198-1-000097/2024,3,1,6000.0
05211356000198-1-000098/2024,1,1,1300.0
05211356000198-1-000099/2024,1,1,1799.0
05211356000198-1-000100/2024,3,2,9834.0
05211356000198-1-000101/2024,1,1,3400.0
05211356000198-1-000102/2024,1,1,2000.0
05211356000198-1-000103/2024,1,1,10972.0
05211356000198-1-000104/2024,1,1,52310.0
05211356000198-1-000105/2024,1,1,50615.8
05211356000198-1-000106/2024,1,1,4115.0
05211356000198-1-000107/2024,1,1,6444.0
05211356000198-1-000108/2024,1,1,7057.16
05211356000198-1-000109/2024,1,1,1500.0
05211356000198-1-000110/2024,1,1,33646.5
05211356000198-1-000111/2024,1,1,19160.0
05211356000198-1-000112/2024,1,1,9783.79
05244336000113-1-000007/2025,1,1,32300.0
05245375000135-1-000014/2025,1,1,91.66
05245375000135-1-000036/2023,1,1,355.29
05278562000115-1-000251/2024,1,1,73000.0
05322181000196-1-000023/2025,1,1,19040.0
05380490000112-1-000005/2025,1,1,39153.3
05380490000112-1-000026/2025,1,1,12543.3
05472936000139-1-000142/2025,1,1,23750.0
05472936000139-1-000209/2025,1,1,865949.36
05493720000150-1-000003/2025,1,1,21607.05
05510098000140-1-000016/2025,1,1,1274339.37
05510098000140-1-000021/2024,1,1,322797.96
05522917000170-1-000003/2025,1,1,6251682.2
05522917000170-1-000005/2025,4,4,185890.0
05522917000170-1-000007/2025,4,4,62354.0
05522917000170-1-000013/2025,1,1,14880262.2
05522917000170-1-000024/2025,3,3,1538903.4
05522917000170-1-000030/2025,15,15,1352466.92
05522917000170-1-000037/2025,1,1,494000.0
05522917000170-1-000059/2025,2,2,1019416.0
05522917000170-1-000072/2025,5,5,302226.39
05522917000170-1-000095/2025,1,1,79120.8
05532421000187-1-000008/2025,1,1,1201149.36
05532421000187-1-000011/2025,1,1,32785.3
05532421000187-1-000027/2025,1,1,42125.91
05537196000171-1-000001/2025,1,1,97900.0
05537196000171-1-000009/2025,1,1,59952.96
05550055000199-1-000017/2025,1,1,16081.32
05568854000192-1-000001/2025,1,1,3588.0
05568854000192-1-000002/2025,1,1,5000.0
05568854000192-1-000003/2025,1,1,10000.0
05568854000192-1-000004/2025,1,1,27920.0
05568854000192-1-000008/2025,1,1,68400.0
05568854000192-1-000009/2025,1,1,120000.0
05587823000189-1-000011/2025,1,1,8000.0
05587823000189-1-000046/2025,2,2,3119.7
05587823000189-1-000048/2025,1,1,1074.0
05593119000139-1-000011/2025,49,49,2484468.62
05593119000139-1-000015/2025,1,1,11960.0
05604369000127-1-000017/2025,1,1,440.0
05607916000128-1-000002/2025,1,1,84465.0
05607916000128-1-000037/2024,1,1,587500.0
05607916000128-1-000040/2024,1,1,207000.0
05613121000122-1-000011/2025,1,1,4088.43
05613121000122-1-000015/2025,6,4,30654.420000000002
05626770000168-1-000001/2024,3,3,722931.99
05626770000168-1-000002/2024,2,2,3821571.45
05626770000168-1-000007/2024,1,1,3992939.93
05626770000168-1-000017/2024,1,1,3316.0
05629151000127-1-000023/2024,1,1,77920.1
05629151000127-1-000027/2024,1,1,102935.77
05629151000127-1-000028/2024,1,1,2528070.68
05639458000109-1-000003/2025,1,1,3400.0
05655623000116-1-000004/2024,2,1,122540.0
05658440000154-1-000001/2025,1,1,9213.12
05658440000154-1-000002/2025,1,1,10764.0
05658440000154-1-000006/2025,4,4,1121.47
05658440000154-1-000018/2025,2,2,1335.82
05667941000105-1-000014/2025,1,1,95988.0
05674714000107-1-000001/2025,1,1,31050.0
05742502000101-1-000002/2025,1,1,6250.0
05774894000190-1-000003/2025,1,1,6360.0
05802877000110-1-000118/2024,1,1,3000.0
05802877000110-1-000149/2024,1,1,279.94
05806495000164-1-000023/2025,1,1,12795.4
05806495000164-1-000029/2025,1,1,14100.0
05853163000130-1-000030/2025,1,1,347670.82
05853163000130-1-000058/2025,1,1,136000.0
05853163000130-1-000076/2024,2,2,5518.4
05858247000167-1-000037/2025,1,1,1650000.0
05858247000167-1-000050/2025,1,1,173000.0
05858247000167-1-000078/2025,1,1,78000.0
05914497000177-1-000027/2025,1,1,1408.0
05921795000194-1-000003/2025,1,1,9707.02
06016527000190-1-000001/2025,1,1,100000.0
06017932000123-1-000001/2025,1,1,143114.4
06017932000123-1-000002/2024,1,1,55800.0
06017932000123-1-000030/2025,1,1,21531.6
06017932000123-1-000039/2024,1,1,56406.36
06017932000123-1-000039/2025,1,1,130000.0
06017932000123-1-000040/2025,1,1,110000.0
06017932000123-1-000049/2025,1,1,97200.0
06017932000123-1-000050/2025,1,1,20857.16
06059056000106-1-000001/2025,1,1,120000.0
06068089000104-1-000018/2024,1,1,5395529.5
06068089000104-1-000022/2024,1,1,17990.0
06068089000104-1-000033/2025,2,2,15720.0
06069513000135-1-000003/2025,2,2,2448.18
06069513000135-1-000009/2024,1,1,16990.0
06082303000187-1-000005/2025,1,1,18712.8
06088862000102-1-000007/2025,1,1,12515.51
06089695000106-1-000008/2025,1,1,219332.75
06102908000192-1-000004/2025,6,6,280675.04
06113056000139-1-000030/2025,1,1,559265.0
06113056000139-1-000037/2025,1,1,348560.52
06129491000151-1-000027/2025,1,1,13150.0
06129491000151-1-000028/2025,4,4,4442.15
06129491000151-1-000048/2025,2,2,2819.0
06129491000151-1-000065/2025,1,1,1680.0
06129491000151-1-000122/2025,1,1,515.0
06129491000151-1-000166/2025,1,1,932.0
06129491000151-1-000182/2025,1,1,160.0
06189978000120-1-000003/2025,2,2,1701178.0
06189978000120-1-000004/2025,1,1,60000.0
06189978000120-1-000005/2025,1,1,850589.0
06189978000120-1-000006/2025,1,1,60508.8
06189978000120-1-000007/2025,1,1,30000.0
06189978000120-1-000010/2025,1,1,37375.47
06189978000120-1-000011/2025,1,1,38160.0
06189978000120-1-000012/2025,2,2,144249.6
06189978000120-1-000014/2025,1,1,25308.0
06189978000120-1-000015/2025,2,2,297740.0
06189978000120-1-000016/2025,1,1,118713.0
06189978000120-1-000018/2025,1,1,51189.6
06189978000120-1-000019/2025,1,1,112102.0
06189978000120-1-000020/2025,1,1,119383.43
06189978000120-1-000021/2025,19,19,1379462.4000000001
06189978000120-1-000023/2025,1,1,2260744.0
06189978000120-1-000028/2025,1,1,1226400.0
06217954000137-1-000031/2025,7,1,590121.62
06217954000137-1-000039/2025,2,1,3262450.0
06217954000137-1-000040/2025,1,1,15718288.83
06252986000173-1-000004/2025,2,2,210070.0
06252986000173-1-000014/2025,1,1,1996300.19
06368175000132-1-000036/2025,1,1,18150.0
06582449000191-1-000023/2024,3,1,3.0
06916689000185-1-000015/2025,1,1,432.25
07095193000150-1-000003/2025,1,1,2221.15
07104377000130-1-000094/2025,2,2,2612.7
07104377000130-1-000095/2025,2,1,1005.0
07104377000130-1-000096/2025,1,1,2655.0
07104377000130-1-000097/2025,2,2,9100.0
07104377000130-1-000098/2025,1,1,600.0
07104377000130-1-000100/2025,1,1,1040.0
07104377000130-1-000103/2025,3,2,413.69
07104377000130-1-000104/2025,1,1,5494.0
07104377000130-1-000105/2025,1,1,1625.0
07104377000130-1-000106/2025,3,2,1934.3000000000002
07104377000130-1-000107/2025,1,1,900.0
07104377000130-1-000108/2025,4,2,1801.1
07104377000130-1-000109/2025,1,1,3300.0
07104377000130-1-000110/2025,3,1,681.2
07104377000130-1-000111/2025,4,2,8199.03
07104377000130-1-000112/2025,1,1,8000.0
07173244000115-1-000001/2025,1,1,96750.0
07173244000115-1-000010/2025,2,2,61887.0
07173244000115-1-000012/2025,1,1,56670.0
07173244000115-1-000026/2025,1,1,35852.9
07222467000125-1-000001/2025,28,7,78484.08
07222467000125-1-000044/2025,12,12,36707.1
07222467000125-1-000048/2025,1,1,156.4
07222467000125-1-000055/2024,1,1,73707.75
07222467000125-1-000059/2024,1,1,19375.0
07222467000125-1-000073/2023,48,48,1907653.4
07252975000156-1-000003/2025,1,1,175932.41
07252975000156-1-000033/2025,1,1,169726.37
07252975000156-1-000035/2025,1,1,25300.0
