municipio_ibge,categoria,ano_assinatura,valor_total,n_fornecedores,hhi,hhi_10000,cr1,cr4,n_efetivo,entropia,entropia_normalizada,exposicao_degree,exposicao_strength,n_instrumentos,datas_sentinela,interpretavel_piloto
2101707,Compras,2025,3262450.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.9961225281116712,2,1,False
2101707,Serviços,2025,590121.62,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.9434961742201294,7,1,False
2101707,Serviços de Engenharia,2025,15718288.83,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.51,1.0,1,1,False
2104057,Serviços,2025,29865.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.5379635079458505,1,1,False
2110500,Serviços de Engenharia,2025,3533353.3,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.51,0.96,1,1,False
2211001,Compras,2025,26166321.91,35.0,0.3834811358337434,3834.811358337434,0.5686799333578939,0.8612400503789414,2.6076902005253935,1.518428572742838,0.4270829596657647,0.4153006798342074,0.9827739361849224,37,7,True
2211001,Serviços,2025,30163.61,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.5544437904649794,1,1,False
2300754,Compras,2025,529182.6,3.0,0.5093522834371305,5093.522834371304,0.5684002081701099,1.0,1.9632777402153934,0.6838299885724122,0.6224488799423915,0.4094610314075223,0.9199022634896847,5,3,True
2300754,Serviços,2024,35000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5,0.6170212765957447,1,1,False
2300754,Serviços,2025,426533.8,3.0,0.8813980571188734,8813.980571188735,0.9377920343006815,1.0,1.134561157610007,0.2759706773286381,0.251199335903304,0.9535182936625219,0.9017498653188645,3,3,False
2302602,Compras,2025,2221.15,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.24621946490887942,1,1,False
2304459,Locação Imóveis,2025,14400.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.5108695652173914,0.20652173913043478,1,1,False
2304459,Serviços,2025,20400.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.4793996468510889,1,1,False
2305407,Compras,2025,97900.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.8464521132221792,1,1,False
2305407,Serviços,2025,89940.95999999999,2.0,0.55549864390574,5554.9864390574,0.6665812773179206,1.0,1.8001844126368118,0.6365733392763293,0.9183811997360879,0.48793407886992346,0.6619422835788753,2,2,False
2306108,Compras,2025,1352.1799999999998,2.0,0.5249707980310392,5249.707980310392,0.6117380822079901,1.0,1.904867858842073,0.6679642688675214,0.9636687381861954,0.40946103140752227,0.11607907684361962,2,1,False
2307254,Compras,2025,83875.09,2.0,0.514080120352159,5140.80120352159,0.5839050664505994,1.0,1.9452220780585185,0.6790002211464647,0.9795902518105142,0.40946103140752227,0.7533310994826077,2,1,False
2307254,Serviços,2025,23010.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.5,1,1,False
2309607,Serviços,2025,48000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.660977045320777,1,1,False
2309706,Compras,2025,47010.5,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.7743311360992633,1,1,False
2309706,Serviços de Saúde,2025,253000.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.49907578558225507,0.8650646950092421,1,1,False
2311355,Compras,2025,37739.28,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.735944164404808,1,1,False
2311405,Serviços,2025,53710.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.6862860506180106,1,1,False
2312007,Compras,2025,424080.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.40946103140752227,0.9472663823187282,1,1,False
2312007,Serviços,2025,28700.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.533254855797528,1,1,False
2313005,Serviços,2025,38280.0,1.0,1.0,10000.0,1.0,1.0,1.0,-0.0,0.0,0.48793407886992346,0.6150676868746321,1,1,False
2314003,Serviços,2025,299927.5,3.0,0.7772325198392729,7772.325198392728,0.877303681723083,1.0,1.286616262797128,0.4569541196151232,0.4159375644424171,0.48793407886992346,0.8417960473467179,3,3,False
