categoria,ano_assinatura,fornecedor_id_limpo,degree,strength,n_compradores_categoria,reach,pct_degree,pct_strength
Compras,2025,58496171000133,1,45000.0,467,0.0021413276231263384,0.4003839590443686,0.7534129692832765
Compras,2025,58514928003351,1,177100.0,467,0.0021413276231263384,0.4003839590443686,0.8886518771331058
Compras,2025,58530679000100,8,4254.33,467,0.017130620985010708,0.9541382252559727,0.3609215017064846
Compras,2025,58665426000144,1,29900.0,467,0.0021413276231263384,0.4003839590443686,0.6919795221843004
Compras,2025,58676108000189,2,864.0,467,0.004282655246252677,0.841296928327645,0.14249146757679182
Compras,2025,58684696000100,1,84910.35,467,0.0021413276231263384,0.4003839590443686,0.8212457337883959
Compras,2025,58733245000108,1,2200.0,467,0.0021413276231263384,0.4003839590443686,0.2619453924914676
Compras,2025,58764863000115,1,49636.38,467,0.0021413276231263384,0.4003839590443686,0.7657849829351536
Compras,2025,58921791000172,1,35300.0,467,0.0021413276231263384,0.4003839590443686,0.7133105802047781
Compras,2025,59044551000108,1,63830.0,467,0.0021413276231263384,0.4003839590443686,0.799061433447099
Compras,2025,59076242000101,1,38844.8,467,0.0021413276231263384,0.4003839590443686,0.7325085324232082
Compras,2025,59217616000242,1,227.88,467,0.0021413276231263384,0.4003839590443686,0.043515358361774746
Compras,2025,59242548000190,1,2229.58,467,0.0021413276231263384,0.4003839590443686,0.2636518771331058
Compras,2025,59269654000168,1,16400.0,467,0.0021413276231263384,0.4003839590443686,0.5951365187713311
Compras,2025,59290569000181,1,13754.85,467,0.0021413276231263384,0.4003839590443686,0.564419795221843
Compras,2025,59316547000143,1,59515.0,467,0.0021413276231263384,0.4003839590443686,0.7901023890784983
Compras,2025,59345113000171,1,1499.6,467,0.0021413276231263384,0.4003839590443686,0.2060580204778157
Compras,2025,59420384000144,1,61525.0,467,0.0021413276231263384,0.4003839590443686,0.7960750853242321
Compras,2025,59488066000115,1,12980.0,467,0.0021413276231263384,0.4003839590443686,0.5533276450511946
