orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,integracao_siconfi_principal
04704773000100,1,12,3523107,Itaquaquecetuba,SP,55351.0,12,10,0.2334072891094409,0.125,0.4169933695868186,0.8030749218622969,4.2843563447203055,0.1482303212327121,0.0277777777777777,0.1084072891094409,0.1204525434549343,0.8805316783804823,0.5550920830526371,True
04729502000109,1,30,3541406,Presidente Prudente,SP,293178.61,30,20,0.5033229138291364,0.0644444444444444,0.6821780074610491,0.9315140691880625,1.9867960955568005,0.4771820145569857,0.015204678362573,0.438878469384692,0.4619773361944126,0.8381696426392263,0.7225718587546096,True
04739716000166,1,6,5206404,Crixás,GO,105018.9,6,6,0.2553823000123483,0.1666666666666666,0.3570785829979175,0.9181204526042456,3.915698151170413,0.1064587600148179,3.3306690738754695e-17,0.0887156333456816,0.1064587600148179,0.5850610077423178,0.5541129095680123,True
04755973000191,1,7,5221601,Uruaçu,GO,333419.52,7,7,0.2929066808018686,0.1428571428571428,0.4198914328711168,0.9273091749397276,3.414056645148465,0.1750577942688467,0.0,0.1500495379447258,0.1750577942688467,0.5308753156288576,0.7410819006685119,True
04776218000193,1,12,5211909,Jataí,GO,39780.5,12,10,0.1877297301188484,0.1111111111111111,0.3616156156911049,0.6904229459157124,5.326806784236665,0.0974774779098315,0.0123456790123456,0.0766186190077373,0.0851317988974858,0.8455405426436085,0.7316244186546511,True
04794805000105,1,6,3541406,Presidente Prudente,SP,29635.43,6,6,0.7227594627189367,0.1666666666666666,0.8435848577192907,0.9886618820783096,1.3835861743519993,0.667311355262724,3.3306690738754695e-17,0.5560927960522699,0.667311355262724,0.4060704883837456,0.4051865625082733,True
04828495000100,1,6,5211909,Jataí,GO,8806.01,6,4,0.3588510404275861,0.3333333333333333,0.4960260095094146,1.0,2.7866715916678357,0.1451347205701147,0.1111111111111111,0.0255177070942527,0.0340236094590036,0.4060703352497573,0.1516912393972498,True
04846427000166,1,37,5206404,Crixás,GO,257099.79,37,20,0.1556702091041334,0.0927684441197955,0.2395956838393372,0.7163024131602752,6.423836684969466,0.1112317990569825,0.0450194148629426,0.0629017649843379,0.0662123841940399,0.6969984730928614,0.6292769973825802,True
04862101000122,1,7,5203302,Bela Vista de Goiás,GO,18754.0,7,7,0.2608611062337059,0.1428571428571428,0.3999146848672283,0.8958088941025915,3.833457637429852,0.1376712906059903,0.0,0.1180039633765631,0.1376712906059903,0.9501803467023728,0.8411861080776248,True
04870834000109,1,11,4316907,Santa Maria,RS,95108.19000000002,11,11,0.5036775880520601,0.0909090909090909,0.6938772570479996,0.92641821908292,1.985397055023699,0.454045346857266,0.0,0.4127684971429691,0.454045346857266,0.4637254563324781,0.5589634814953368,True
04902949000138,1,14,5200308,Alexânia,GO,401451.14,14,13,0.2729159356703943,0.0816326530612245,0.4702938444763165,0.8065738709821574,3.6641319516340696,0.2123255969762604,0.0051020408163265,0.1912832826091698,0.2072235561599339,0.9146479567505044,0.8041427863291944,True
04927953000150,1,14,4215802,São Bento do Sul,SC,117545.65,14,11,0.5317706956163972,0.1122448979591836,0.7154582070880547,0.9470873656319908,1.8805097916139568,0.4849477651780369,0.023469387755102,0.4195257976572135,0.4614783774229349,0.9803821272243292,0.9598357435832976,True
05002371000126,1,12,4219309,Videira,SC,3280.98,12,11,0.1695038566157685,0.0972222222222222,0.2816231735639961,0.7346402599223403,5.899570782432405,0.0864542422773454,0.0069444444444444,0.0722816343935463,0.0795097978329009,0.99384986688437,0.8038366925585678,True
05002963000148,1,14,5213103,Mineiros,GO,107234.73,14,13,0.1416940639536772,0.0816326530612245,0.2331334260831356,0.6775323628828085,7.057458669030208,0.0701685692831503,0.0051020408163265,0.0600614108924527,0.0650665284668237,0.694682549022633,0.5458400638940388,True
05009757000160,1,7,3533908,Olímpia,SP,32438.75,7,6,0.4427764375393844,0.183673469387755,0.5733883087356942,0.9753997919155332,2.2584760958763783,0.3313317250472614,0.0204081632653061,0.2591029681516293,0.3109235617819553,0.4060703352497574,0.3471209148585723,True
