rank,score,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15
51,6.42360758426967,2,3,4,5,9,10,11,12,13,14,15,17,21,24,25
52,6.423570435451742,1,3,4,5,9,11,12,13,15,17,19,21,23,24,25
53,6.423364678516098,1,3,4,5,11,12,13,14,15,17,19,21,22,24,25
54,6.4232842250683975,1,3,4,5,9,11,12,13,15,17,20,21,23,24,25
55,6.423232396213805,1,3,4,5,9,11,12,13,15,16,17,21,23,24,25
56,6.423078468132753,1,3,4,5,11,12,13,14,15,17,20,21,22,24,25
57,6.423026639278161,1,3,4,5,11,12,13,14,15,16,17,21,22,24,25
58,6.422990224357507,1,3,4,5,6,9,11,12,13,14,15,17,21,24,25
59,6.422986963881952,1,2,3,4,5,11,13,14,15,17,21,22,23,24,25
60,6.422743017751157,3,4,5,9,10,11,12,13,14,15,17,21,23,24,25
61,6.4223084382496785,2,3,4,5,9,11,12,13,14,15,21,22,23,24,25
62,6.422174171851256,2,3,4,5,9,11,12,13,14,17,21,22,23,24,25
63,6.421841676733312,2,3,4,5,11,12,13,14,15,17,19,21,23,24,25
64,6.421738321171458,1,2,3,4,5,9,11,13,14,15,17,19,21,24,25
65,6.421555466349967,2,3,4,5,11,12,13,14,15,17,20,21,23,24,25
66,6.421503637495375,2,3,4,5,11,12,13,14,15,16,17,21,23,24,25
67,6.421452110788113,1,2,3,4,5,9,11,13,14,15,17,20,21,24,25
68,6.421400281933521,1,2,3,4,5,9,11,13,14,15,16,17,21,24,25
69,6.421172448056073,1,2,3,4,5,10,11,12,13,14,15,17,21,24,25
70,6.420873754652945,1,3,4,5,9,11,13,14,15,17,19,21,23,24,25
71,6.4205875442696,1,3,4,5,9,11,13,14,15,17,20,21,23,24,25
72,6.420535715415008,1,3,4,5,9,11,13,14,15,16,17,21,23,24,25
73,6.42030788153756,1,3,4,5,10,11,12,13,14,15,17,21,23,24,25
74,6.419873302036081,1,2,3,4,5,11,12,13,14,15,21,22,23,24,25
75,6.4197798555835845,1,3,4,5,9,11,12,13,15,17,19,21,22,24,25
76,6.419739035637659,1,2,3,4,5,11,12,13,14,17,21,22,23,24,25
77,6.41949364520024,1,3,4,5,9,11,12,13,15,17,20,21,22,24,25
78,6.419441816345648,1,3,4,5,9,11,12,13,15,16,17,21,22,24,25
79,6.419402140949439,1,2,3,4,5,9,11,13,15,17,21,22,23,24,25
80,6.419316697207158,2,3,4,5,9,11,12,13,14,15,17,22,23,24,25
81,6.419270654705418,1,3,4,5,7,9,11,12,13,14,15,17,21,24,25
82,6.418952437882999,3,4,5,9,10,11,12,13,14,15,17,21,22,24,25
83,6.4186246593255865,1,2,3,4,5,9,11,12,13,14,15,19,21,24,25
84,6.418490392927164,1,2,3,4,5,9,11,12,13,14,17,19,21,24,25
85,6.418338448942242,1,2,3,4,5,9,11,12,13,14,15,20,21,24,25
86,6.41828662008765,1,2,3,4,5,9,11,12,13,14,15,16,21,24,25
87,6.4182568538007985,2,3,4,5,9,11,12,13,15,17,19,21,23,24,25
88,6.418204182543819,1,2,3,4,5,9,11,12,13,14,17,20,21,24,25
89,6.418152353689227,1,2,3,4,5,9,11,12,13,14,16,17,21,24,25
90,6.418051096865154,2,3,4,5,11,12,13,14,15,17,19,21,22,24,25
91,6.418041299123303,1,2,3,4,5,9,11,12,14,15,17,21,23,24,25
92,6.417970643417454,2,3,4,5,9,11,12,13,15,17,20,21,23,24,25
93,6.417918814562862,2,3,4,5,9,11,12,13,15,16,17,21,23,24,25
94,6.41776488648181,2,3,4,5,11,12,13,14,15,17,20,21,22,24,25
95,6.417760092807074,1,3,4,5,9,11,12,13,14,15,19,21,23,24,25
96,6.417713057627218,2,3,4,5,11,12,13,14,15,16,17,21,22,24,25
97,6.417676642706564,2,3,4,5,6,9,11,12,13,14,15,17,21,24,25
98,6.417625826408652,1,3,4,5,9,11,12,13,14,17,19,21,23,24,25
99,6.417587625123559,1,2,3,4,5,9,10,11,12,13,15,17,21,24,25
100,6.41747388242373,1,3,4,5,9,11,12,13,14,15,20,21,23,24,25
101,6.417422053569138,1,3,4,5,9,11,12,13,14,15,16,21,23,24,25
102,6.417339616025307,1,3,4,5,9,11,12,13,14,17,20,21,23,24,25
103,6.417287787170715,1,3,4,5,9,11,12,13,14,16,17,21,23,24,25
104,6.417186530346642,3,4,5,11,12,13,14,15,17,19,21,22,23,24,25
105,6.417083174784787,1,3,4,5,9,11,13,14,15,17,19,21,22,24,25
106,6.416900319963298,3,4,5,11,12,13,14,15,17,20,21,22,23,24,25
107,6.416881560993561,1,2,3,4,5,11,12,13,14,15,17,22,23,24,25
108,6.416848491108706,3,4,5,11,12,13,14,15,16,17,21,22,23,24,25
109,6.416812076188051,3,4,5,6,9,11,12,13,14,15,17,21,23,24,25
110,6.416796964401443,1,3,4,5,9,11,13,14,15,17,20,21,22,24,25
111,6.416745135546851,1,3,4,5,9,11,13,14,15,16,17,21,22,24,25
112,6.416723058605047,1,3,4,5,9,10,11,12,13,15,17,21,23,24,25
113,6.416517301669402,1,3,4,5,10,11,12,13,14,15,17,21,22,24,25
114,6.416288479103568,1,2,3,4,5,9,11,12,13,15,21,22,23,24,25
115,6.416154212705146,1,2,3,4,5,9,11,12,13,17,21,22,23,24,25
116,6.415821717587201,1,2,3,4,5,11,12,13,15,17,19,21,23,24,25
117,6.415651677252803,3,4,5,9,11,12,13,14,15,17,19,20,21,24,25
118,6.415632918283066,1,2,3,4,5,9,11,12,13,14,15,17,19,24,25
119,6.415599848398211,3,4,5,9,11,12,13,14,15,16,17,19,21,24,25
120,6.415560173002001,2,3,4,5,9,11,13,14,15,17,19,21,23,24,25
121,6.415535507203857,1,2,3,4,5,11,12,13,15,17,20,21,23,24,25
122,6.415483678349265,1,2,3,4,5,11,12,13,15,16,17,21,23,24,25
123,6.4153467078997215,1,2,3,4,5,9,11,12,13,14,15,17,20,24,25
124,6.415313638014866,3,4,5,9,11,12,13,14,15,16,17,20,21,24,25
125,6.415294879045129,1,2,3,4,5,9,11,12,13,14,15,16,17,24,25
126,6.415273962618657,2,3,4,5,9,11,13,14,15,17,20,21,23,24,25
127,6.415241506492967,1,2,3,4,5,6,11,12,13,14,15,17,21,24,25
128,6.415222133764065,2,3,4,5,9,11,13,14,15,16,17,21,23,24,25
129,6.414994299886616,2,3,4,5,10,11,12,13,14,15,17,21,23,24,25
130,6.414890944324762,1,2,3,4,5,9,10,11,13,14,15,17,21,24,25
131,6.414768351764554,1,3,4,5,9,11,12,13,14,15,17,19,23,24,25
132,6.414482141381209,1,3,4,5,9,11,12,13,14,15,17,20,23,24,25
133,6.414466273932641,2,3,4,5,9,11,12,13,15,17,19,21,22,24,25
134,6.414430312526617,1,3,4,5,9,11,12,13,14,15,16,17,23,24,25
135,6.414376939974454,1,3,4,5,6,11,12,13,14,15,17,21,23,24,25
136,6.414250719255145,1,2,3,4,5,9,11,12,14,15,17,21,22,24,25
137,6.4141800635492965,2,3,4,5,9,11,12,13,15,17,20,21,22,24,25
138,6.414128234694704,2,3,4,5,9,11,12,13,15,16,17,21,22,24,25
139,6.41402637780625,1,3,4,5,9,10,11,13,14,15,17,21,23,24,25
140,6.413969512938917,1,3,4,5,9,11,12,13,14,15,19,21,22,24,25
141,6.413957073054474,2,3,4,5,7,9,11,12,13,14,15,17,21,24,25
142,6.413835246540494,1,3,4,5,9,11,12,13,14,17,19,21,22,24,25
143,6.413715309338742,1,2,3,4,5,9,11,12,13,14,15,17,21,23,25
144,6.413683302555572,1,3,4,5,9,11,12,13,14,15,20,21,22,24,25
145,6.41363147370098,1,3,4,5,9,11,12,13,14,15,16,21,22,24,25
146,6.413601707414129,3,4,5,9,11,12,13,15,17,19,21,22,23,24,25
147,6.413591798304771,1,2,3,4,5,9,11,13,14,15,21,22,23,24,25
