orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength,integracao_siconfi_principal
32370759000152,1,30,4119905,Ponta Grossa,PR,1856775.89,30,29,0.1455218630737433,0.3205556487487566,0.603992116679197,6.871819662542728,0.7192828829943808,0.0355555555555555,28.125,0.1099663075181877,0.4989626251665902,0.7835145073838393,True
32467800000103,1,5,5210000,Inhumas,GO,4371.04,5,3,0.3630272551257811,0.4575570116036458,1.0,2.754614111972175,0.9588213445681616,0.3600000000000001,2.777777777777777,0.003027255125781,0.9774410604020825,0.7615497979955743,True
32504706000187,1,121,3306305,Volta Redonda,RJ,4564918.970000001,121,95,0.0602794811472364,0.1557717244650237,0.4169031197502286,16.589392957073343,0.7492231665329141,0.0130455569974728,76.65445026178007,0.0472339241497636,0.5204557821293482,0.7732464877935458,True
32531313000162,1,8,5212501,Luziânia,GO,7915249.93,8,8,0.2588996456476763,0.3749976344714108,0.9628086374273211,3.862500458424151,0.7173531019865608,0.125,8.0,0.1338996456476763,0.413057353725038,0.9625668373400612,True
32557811000184,1,5,3305505,Saquarema,RJ,78609.32,5,5,0.3153518214025729,0.4706821023257801,0.9761535909482488,3.171061437198476,0.8187239356351222,0.2,4.999999999999999,0.1153518214025729,0.4228701289090565,0.4641454034533427,True
32579624000100,1,33,4206009,Governador Celso Ramos,SC,11703.19,33,28,0.1274771291248399,0.2464336646674966,0.5991580073467149,7.844544404672683,0.7613568491031273,0.039485766758494,25.32558139534884,0.0879913623663458,0.9893272245749464,0.7826094458513206,True
33002067000114,1,5,5220009,São João d'Aliança,GO,18238.8,5,5,0.323038045024323,0.4386253481588701,0.9539443384433188,3.095610611204341,0.8046129499580857,0.2,4.999999999999999,0.1230380450243229,0.4394473450145676,0.2460883669053481,True
33840043000134,1,33,3550308,São Paulo,SP,7352159.080000001,33,29,0.923362041906132,0.9607955871379212,0.9839633257772218,1.082998818032049,0.0743363519369106,0.039485766758494,25.32558139534885,0.883876275147638,0.4151161151851583,0.97554002412409,True
34550730000188,1,23,5203807,Britânia,GO,234102.1,23,20,0.1339232800765501,0.3075581124646041,0.5540317664813772,7.466961677076632,0.814490090476155,0.054820415879017,18.241379310344836,0.0791028641975331,0.5439158033193031,0.5764271167522396,True
35001011000170,1,7,2405702,Jardim do Seridó,RN,49693.9,7,5,0.3319148492359121,0.4829566606766625,0.9834929438019556,3.012820915671776,0.7882832448063777,0.2244897959183673,4.454545454545455,0.1074250533175448,0.4095272879056663,0.3807290900026139,True
35607532000176,1,11,4104808,Cascavel,PR,21173063.97,11,11,0.8167593173404972,0.9028452389831418,0.962853399436454,1.2243508935486216,0.2109752464418355,0.0909090909090909,11.0,0.7258502264314063,0.4190602566746969,0.9839196403960744,True
36975571000199,1,9,5208608,Goianésia,GO,4014582.0,9,9,0.5157064992374888,0.7061009091357456,0.89966028841857,1.939087448924099,0.520257339738987,0.1111111111111111,9.0,0.4045953881263777,0.42780985096853,0.9319868098193336,True
37382116000142,1,9,5202809,Avelinópolis,GO,800596.8200000001,9,9,0.2741270931682255,0.4654706472603775,0.841867970447347,3.647942961210051,0.7490890483896591,0.1111111111111111,9.0,0.1630159820571143,0.74883725909936,0.8511636925221788,True
37622644000121,1,10,5209705,Hidrolândia,GO,83999.0,10,10,0.1869255816767001,0.2574316360909058,0.8309503684567674,5.349722552847607,0.8058394608754341,0.1,9.999999999999996,0.0869255816767,0.6746825727889852,0.579741935951775,True
39563911000162,1,18,3306305,Volta Redonda,RJ,21505967.9,18,15,0.3523928736555664,0.5540264755998264,0.9132352466684376,2.837741835203551,0.5525963392311007,0.074074074074074,13.5,0.2783187995814923,0.4095272879056663,0.973273552845864,True
39750948000108,1,6,3304201,Resende,RJ,166734.49,6,5,0.6471644982637123,0.7946027243673459,0.9841664433075604,1.5452021899886592,0.4613205239504548,0.2222222222222222,4.499999999999999,0.42494227604149,0.4095272879056663,0.678953481396358,True
39754247000139,1,5,3306008,Três Rios,RJ,105381.95,5,5,0.2823102280824438,0.390018878944639,0.9487578280720748,3.5422025152697167,0.8630242193828989,0.2,4.999999999999999,0.0823102280824437,0.4095272879056663,0.488275779660492,True
39758701000120,1,17,3306305,Volta Redonda,RJ,2517406.46,17,7,0.2425185374192363,0.3780666352941669,0.9014064657639752,4.123396135575907,0.8233682363884332,0.2802768166089965,3.567901234567901,-0.0377582791897601,0.4095272879056663,0.8995320407408897,True
40637159000136,1,51,2910800,Feira de Santana,BA,13350143.95,51,46,0.0641453539222531,0.1175184039869472,0.4020922598366439,15.58959361596229,0.7947473327014021,0.0242214532871972,41.28571428571428,0.0399239006350559,0.4729165102527359,0.9140943909098188,True
41714199000105,1,5,2300754,Amontada,CE,145414.0,5,5,0.4329155626895463,0.6031056156903737,0.9865762581319544,2.3099192687538537,0.6697685999072207,0.2,4.999999999999999,0.2329155626895463,0.4462242662492164,0.6391891813671716,True
41779117000100,1,22,3146008,Ouro Fino,MG,920978.56,22,22,0.1263919891118643,0.2531057834831681,0.6219664331816801,7.911893839370951,0.7831975338488184,0.0454545454545454,22.0,0.0809374436573189,0.5890930507375177,0.6960404467314241,True
41863890000142,1,8,5219902,São Francisco de Goiás,GO,181910.0,8,7,0.3340299983426736,0.5277334945852344,0.9073827717002914,2.9937430918229184,0.7199450764508751,0.15625,6.4,0.1777799983426736,0.7270969621783137,0.6851767704538677,True
43939047000128,1,15,5203939,Buriti de Goiás,GO,248035.06,15,14,0.1177156808270883,0.2419012860520605,0.5439553585690668,8.495044950458997,0.8841434535456408,0.0755555555555555,13.235294117647058,0.0421601252715328,0.6636200406516304,0.6477354980511186,True
44239770000167,1,21,3503208,Araraquara,SP,1768656.0099999998,21,20,0.1088608197147595,0.1920999776547843,0.5847875302784288,9.186041429967466,0.8232074777366986,0.0521541950113378,19.173913043478265,0.0567066247034216,0.8378051026342777,0.8596651983162621,True
