cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita
3146008,160138629.76,158072437.0,154860035.19,32131,0.9870974744626165,0.9670373439693406,4983.929219756621
3147600,98230665.96,94999050.48,91079630.76,15387,0.9671017655391249,0.9272016011485463,6384.003766816143
3147907,780937126.15,700125572.03,690539133.82,110555,0.8965197691158584,0.8842442121100584,7063.788396273348
3148103,640784193.84,578440596.55,571871146.77,91901,0.9027073422076842,0.8924551389805235,6972.548653877542
3151800,1385069952.02,1358964146.39,1252883961.87,172869,0.9811519948202422,0.9045636720678124,8012.251774580752
3162500,549083620.8,533399707.61,523202426.38,93778,0.9714362028006792,0.9528647487566798,5855.143219091898
3163706,360243503.86,343925387.21,330224857.88,44432,0.9547025373805444,0.9166712358214625,8107.74900657184
3167202,1493652931.85,1365688651.36,1317259156.64,233398,0.9143279688598698,0.8819044428269404,6399.5961055793105
3169356,244618075.25,235102575.65,222254077.04,28320,0.9611005867400635,0.9085758557001808,8637.643900070621
3170206,4955472113.74,4764899350.61,4734065446.75,725536,0.9615429652804219,0.9553207722880516,6830.084397934768
3170404,628030681.78,596341141.56,593685429.83,86867,0.949541413915983,0.9453127801771457,7229.795915364868
3171303,503443372.65,483088183.02,467704589.9,85119,0.9595680651771115,0.9290113154894065,5914.582791738624
3200201,203978506.01,203261337.19,203093557.41,26397,0.996484096123516,0.9956615595568848,7727.336667424328
3200300,125731832.1,121838651.42,120454168.77,13303,0.9690358390951976,0.9580244458236921,9451.389318198902
3200607,967453440.58,937417404.54,931709623.55,99336,0.9689535074452853,0.9630537082915626,9739.202711806394
3200805,209516687.0,207320654.62,204201834.68,30676,0.9895185800642218,0.9746327970525804,6829.987188681705
3200904,266817792.15,261603351.83,233620380.79,40753,0.9804569242628748,0.8755802186484736,6547.193878978235
3201407,204149789.51,203896522.53,202886335.44,39372,0.998759406117401,0.9938111419412553,5185.151618155034
3201506,862392527.99,786458070.45,781885106.21,124575,0.9119490776236404,0.9066464293613018,6922.677326831226
3201902,239723639.61,235283985.02,230789138.19,35937,0.9814801135289671,0.9627299942778471,6670.663650555139
3202256,95711556.85,92034248.02,91505192.76,11073,0.9615792601120979,0.9560516595023918,8643.687966224148
3202405,673266124.32,667493338.1,647944467.29,132915,0.9914256992718435,0.9623898245948806,5065.3885890982965
3202652,95970686.6,92546266.59,90834395.26,13328,0.9643180628239875,0.9464806231781195,7200.681767707082
3202801,548674095.57,535442993.06,523538305.77,45801,0.9758853158608578,0.9541881236913741,11979.522184450123
3202900,78064468.82,74816348.24,74816348.24,12452,0.9583918185943279,0.9583918185943279,6269.2313539993565
3203007,169588138.36,149998397.57,143624276.84,27846,0.8844863739914691,0.8469004862540316,6090.215411908353
3203056,251936106.25,244043069.38,238581673.14,28911,0.9686704816253386,0.9469927780151202,8714.195505171043
3203205,1182188660.03,1164930084.75,1156702627.9,171265,0.9854011666128129,0.9784416540340075,6902.686830525793
3203403,180495525.13,177207976.59,174303597.95,24769,0.9817859831282123,0.9656948438165415,7287.1543110339535
3203700,137229171.8,130328036.69,128973971.68,18169,0.9497108740111189,0.9398436934966622,7552.929264131213
3203908,343447457.99,284482961.48,281852012.08,48220,0.8283158161801948,0.8206554030986787,7122.510534840316
3204351,150573017.92,146556166.04,144654396.45,19035,0.973322897186439,0.9606926821833074,7910.324030470186
