orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength,integracao_siconfi_principal,cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita,portfolio_hhi_norm,count_hhi_norm,procurement_intensity_parcial,log_despesa_empenhada,log_populacao_siconfi,log_despesa_per_capita,instrumentos_por_fornecedor
12770455000175,1,5,4202107,Barra Velha,SC,237186.82,5,5,0.2671475490458799,0.3587551787236744,0.9789617315161104,3.743249764302573,0.8715954570013471,0.2,4.999999999999999,0.0671475490458798,0.6777026650212428,0.7318038050112454,True,4202107,338663895.79,313109110.99,309350941.75,45633.0,0.9245423408940937,0.9134452936838106,7421.469020007451,0.08393443630734986,0.0,0.0007003605136198979,19.64051871567868,10.728386417979852,8.912132297698827,1.0
12816116000182,1,22,4216602,São José,SC,59195.47,22,20,0.1974078048046123,0.4049296339736807,0.6414500974483353,5.065655843697601,0.7361616588643162,0.0537190082644628,18.615384615384613,0.1436887965401495,0.9741445646199092,0.6799427361821063,True,4216602,1438009221.47,1403029348.02,1356355410.74,287409.0,0.9756747919778692,0.9432174637610948,5003.354875699787,0.15516611032064453,0.003914745541539784,4.1164875103852e-05,21.08652550892985,12.568661567376834,8.517863941553017,1.1
12877385000159,1,11,4320909,Tapejara,RS,258377.44,11,10,0.2253954887981292,0.3436832565567644,0.8727929187625669,4.4366460275326505,0.7236864422288944,0.1074380165289256,9.307692307692308,0.1179574722692036,0.4095272879056663,0.6023714189322213,True,4320909,178086346.71,173800350.05,168584012.97,24539.0,0.975933041812692,0.9466419862300065,7257.278076123722,0.13932832088681021,0.008264462809917321,0.0014508548508816788,18.997779084512764,10.108018967638357,8.88976011687441,1.1
13019421000106,1,54,4215695,Santiago do Sul,SC,194644.29,54,37,0.5996753450897362,0.7706365288188006,0.8905726954538455,1.667568974092738,0.3189546960914617,0.0425240054869684,23.51612903225806,0.5571513396027677,0.9895042899416728,0.9588942208114576,True,4215695,28970625.33,27584945.51,27584945.49,1642.0,0.9521694887764441,0.9521694880860896,17643.498982947625,0.5885552157866732,0.01592745008382863,0.006718677549512184,17.181792954945777,7.403670290012373,9.778122664933404,1.4594594594594594
13019629000125,1,6,4217303,Saudades,SC,2019.59,6,6,0.2936956161524267,0.4019627746225719,0.885105392678712,3.404885687776165,0.8033026920721277,0.1666666666666666,5.999999999999999,0.12702894948576,0.9313908355934948,0.4288538159833685,True,4217303,79276525.84,75096776.57,74775503.5,10272.0,0.9472763314775449,0.9432237690500691,7717.730319314642,0.15243473938291202,-6.661338147750939e-17,2.547525864183354e-05,18.18845262563329,9.237177025929743,8.951275599703546,1.0
13128780003389,1,9,2800308,Aracaju,SE,97600063.2,9,8,0.556096570442056,0.7129338965428047,0.9976655291756,1.7982488171165547,0.3842176925550012,0.1358024691358024,7.363636363636364,0.4202941013062535,0.4105649436761931,0.9978160338951592,True,2800308,4013049781.6,3870099515.27,3740885901.41,605309.0,0.9643786461395438,0.9321802880597487,6629.754029099187,0.4926817947909211,0.012345679012345607,0.024320670938970244,22.11281733323773,13.31349435042941,8.799322982808317,1.125
13128780003974,1,23,2800308,Aracaju,SE,379203.33,23,4,0.5876019961229635,0.7515756784097861,1.0,1.7018322037672873,0.5923290298500641,0.3081285444234404,3.245398773006135,0.279473451699523,0.52854847681505,0.8322855269544757,True,2800308,4013049781.6,3870099515.27,3740885901.41,605309.0,0.9643786461395438,0.9321802880597487,6629.754029099187,0.450135994830618,0.07750472589792053,9.449255569633426e-05,22.11281733323773,13.31349435042941,8.799322982808317,5.75
13128780009905,1,5,2800308,Aracaju,SE,130219.5,5,5,0.3512993314623567,0.4991571922791901,0.9990823187003482,2.8465753004347927,0.7403033741968923,0.2,4.999999999999999,0.1512993314623567,0.4100280720397087,0.5668525634245677,True,2800308,4013049781.6,3870099515.27,3740885901.41,605309.0,0.9643786461395438,0.9321802880597487,6629.754029099187,0.18912416432794585,0.0,3.244901187048858e-05,22.11281733323773,13.31349435042941,8.799322982808317,1.0
13133909000160,1,10,2604007,Carpina,PE,1861996.39,10,10,0.3392012943900858,0.53705796926921,0.8758341362842278,2.9481019575650182,0.6421016661387364,0.1,9.999999999999996,0.2392012943900857,0.6167494268669033,0.9140279790440612,True,2604007,333242122.48,327929211.85,323660502.66,78865.0,0.9840569055602542,0.9712472728576651,4225.475464147594,0.2657792159889842,0.0,0.005587518096880895,19.62437987827408,11.275492808921575,8.348887069352507,1.0
13170158000151,1,112,4208906,Jaraguá do Sul,SC,206145.87,112,50,0.4862419629463271,0.6885900745913561,0.8240607003186626,2.056589262556887,0.3928622937139188,0.0366709183673469,27.269565217391303,0.4495710445789802,0.9805632853577948,0.9181379086714644,True,4208906,1500828977.09,1372402927.83,1352736980.24,193304.0,0.9144299242482585,0.901326534128399,7764.08650152092,0.47575710504727253,0.017011141191170306,0.00013735467074982928,21.129283443792367,12.17201935820529,8.957264085587079,2.24
