orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
11389851000194,2804607,Nossa Senhora das Dores,SE,4,4,4,2193700.0,0.5,15.5
11391482000174,4202537,Bom Jesus,SC,5,3,5,1708.255,1.0,1.0
11395609000123,4204194,Chapadão do Lageado,SC,1,1,1,7970.9,0.0,7.0
11395801000110,4207684,Ipuaçu,SC,11,4,10,4054.74,1.0,0.0
11407443000118,4208500,Ituporanga,SC,12,7,8,452799.376,1.0,1.0
11408074000188,4206801,Ibicaré,SC,1,1,1,192.49,1.0,5.0
11409678000149,5217302,Pirenópolis,GO,1,1,1,115920.0,0.0,24.0
11414598000181,4204103,Caxambu do Sul,SC,3,3,2,3067971.87,0.0,15.0
11415051000109,4214003,Presidente Getúlio,SC,1,1,1,689505.6,0.0,1.0
11420595000150,4212106,Palmitos,SC,6,4,6,5235.3,1.0,1.0
11420840000120,4200507,Águas de Chapecó,SC,2,2,2,284065.0,0.5,0.0
11420915000172,4100806,Alvorada do Sul,PR,16,8,16,1858977.15,0.625,42.0
11420927000105,4100806,Alvorada do Sul,PR,9,2,9,2192417.0100000002,1.0,46.0
11421459000185,2912004,Ibiassucê,BA,5,5,5,330000.0,0.0,20.0
11422955000153,4218202,Timbó,SC,8,3,7,27180.3,1.0,3.0
11423181000185,3202306,Guaçuí,ES,1,1,1,100000.0,0.0,0.0
11423342000130,4202156,Belmonte,SC,10,1,9,9229.66,1.0,1.0
11429759000100,4212239,Paraíso,SC,1,1,1,135100.0,1.0,1.0
11430652000182,4214151,Princesa,SC,1,1,1,50.0,1.0,1.0
11431615000199,4215752,São Bernardino,SC,32,8,21,11218.3624,1.0,1.0
11433441000101,4217808,Taió,SC,3,2,3,42480.0,0.6666666666666666,1.0
11436319000180,3101607,Alfenas,MG,1,1,1,16980.0,0.0,58.0
11436906000170,4205902,Gaspar,SC,16,10,12,3797734.992,0.9375,1.0
11436910000138,4213203,Pomerode,SC,1,1,1,237.97,1.0,0.0
11448444000100,4208708,Jacinto Machado,SC,17,12,15,1006303.62,0.7647058823529411,204.0
11455792000105,4211108,Monte Castelo,SC,21,7,16,24970.78,1.0,1.0
11463194000188,5211602,Ivolândia,GO,1,1,1,1399.2,0.0,1.0
11470270000182,5214101,Mutunópolis,GO,27,19,20,170137.84,0.0,37.0
11481782000144,4202859,Braço do Trombudo,SC,9,1,8,3094.07,1.0,1.0
11483837000155,5213004,Maurilândia,GO,1,1,1,66000.0,0.0,35.0
11485410000196,4208450,Itapoá,SC,19,6,15,33279.42,1.0,2.0
11491075000139,4218301,Três Barras,SC,39,5,22,73340.80040000001,1.0,1.0
11503081000169,2613602,São José do Egito,PE,1,1,1,386397.9,0.0,9.0
11505079000129,3524303,Jaboticabal,SP,1,1,1,182.67,0.0,3.0
11508942000100,2611606,Recife,PE,14,10,14,5169517.99,0.0,3.5
11520287000105,5207352,Edealina,GO,47,1,46,5092326.0,0.0,13.0
11553540000119,4216008,São Carlos,SC,7,6,7,9403.21,1.0,1.0
11588933000168,4216305,São João Batista,SC,1,1,1,33000.0,0.0,2.0
11627479000107,1714880,Nova Olinda,TO,2,2,2,67800.0,0.0,14.5
